,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2022-02-06,13:15,Liga 1,Torneo Apertura,Sun,Away,D,0,0,Carlos Stein,,,,4-4-2,4-4-2,David Huaman,Match Report,
1,2022-02-12,15:00,Liga 1,Torneo Apertura,Sat,Home,D,0,0,U César Vallejo,,,,4-5-1,5-3-2,Jordi Espinoza,Match Report,
2,2022-02-20,19:00,Liga 1,Torneo Apertura,Sun,Away,D,0,0,Cienciano,,,Yorkman Tello,4-2-3-1,3-5-2,Jesús Cartagena,Match Report,
3,2022-02-27,15:00,Liga 1,Torneo Apertura,Sun,Home,L,2,3,Dep Municipal,,,Yorkman Tello,4-2-3-1,4-3-3,Luis Seminario,Match Report,
4,2022-03-07,19:00,Liga 1,Torneo Apertura,Mon,Away,W,1,0,Binacional,,,Yorkman Tello,5-3-2,4-2-3-1,Joel Alarcón,Match Report,
5,2022-03-13,15:30,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Sport Huancayo,,,,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
6,2022-03-20,15:30,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Ayacucho,,,Jeickson Reyes,4-4-2,4-4-2,Jordy Espinoza,Match Report,
7,2022-04-04,20:00,Liga 1,Torneo Apertura,Mon,Away,L,1,2,Universitario,,,Yorkman Tello,4-4-2,4-2-3-1,Hibert Villegas,Match Report,
8,2022-04-10,15:00,Liga 1,Torneo Apertura,Sun,Home,W,3,0,Sport Boys,,,Yorkman Tello,4-2-3-1,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
9,2022-04-16,13:00,Liga 1,Torneo Apertura,Sat,Away,L,1,4,Atlético Grau,,,Yorkman Tello,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
10,2022-04-24,15:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Alianza Atlético,,,,4-4-1-1,5-3-2,Luis Garay Evia,Match Report,
11,2022-05-01,13:15,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Mannucci,,,Yorkman Tello,4-4-2,4-4-2,David Huaman,Match Report,
12,2022-05-08,15:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Sporting Cristal,,,Yorkman Tello,4-4-2,4-3-3,Kevin Ortega,Match Report,
13,2022-05-13,15:30,Liga 1,Torneo Apertura,Fri,Away,L,0,3,Melgar,,,Yorkman Tello,4-2-3-1,4-2-3-1,Luis Seminario,Match Report,
14,2022-05-28,11:00,Liga 1,Torneo Apertura,Sat,Away,L,0,2,USMP,,,Yorkman Tello,4-2-3-1,4-2-3-1,Sebastián Lozano,Match Report,
15,2022-06-19,15:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,UTC,,,Yorkman Tello,4-2-3-1,4-2-3-1,Robin Segura Tuanama,Match Report,
16,2022-06-26,11:00,Liga 1,Torneo Apertura,Sun,Away,L,0,3,Cantolao,,,Yorkman Tello,3-4-3,4-2-3-1,Luis Seminario,Match Report,
17,2022-07-03,15:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Alianza Lima,,,Hugo Ancajima,4-4-2,4-3-1-2,Daniel Ureta,Match Report,
18,2022-07-10,15:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Carlos Stein,,,Yorkman Tello,4-4-2,4-3-3,Luis Garay Evia,Match Report,
19,2022-07-16,13:00,Liga 1,Torneo Clausura,Sat,Away,L,2,3,U César Vallejo,,,Yorkman Tello,4-2-3-1,3-4-3,James Huamaní,Match Report,
20,2022-07-24,15:00,Liga 1,Torneo Clausura,Sun,Home,L,0,1,Cienciano,,,Yorkman Tello,4-3-3,3-5-2,Sebastián Lozano,Match Report,
21,2022-07-27,15:15,Liga 1,Torneo Clausura,Wed,Away,L,0,1,Dep Municipal,,,Yorkman Tello,4-2-3-1,4-1-4-1,Jesús Cartagena,Match Report,
22,2022-07-31,15:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Binacional,,,Yorkman Tello,4-2-4,4-4-2,Augusto Menéndez,Match Report,
23,2022-08-06,18:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sport Huancayo,,,Hernán Rengifo,4-2-3-1,3-4-1-2,Micke Palomino,Match Report,
24,2022-08-13,15:30,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Ayacucho,,,Hernán Rengifo,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
25,2022-08-21,15:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Universitario,,,Yorkman Tello,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
26,2022-08-26,15:30,Liga 1,Torneo Clausura,Fri,Away,L,1,2,Sport Boys,,,Yorkman Tello,4-2-3-1,4-3-3,Christian Zegarra,Match Report,
27,2022-09-04,15:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Atlético Grau,,,Yorkman Tello,4-2-3-1,4-1-3-2,Hibert Villegas,Match Report,
28,2022-09-10,13:15,Liga 1,Torneo Clausura,Sat,Away,D,2,2,Alianza Atlético,,,Armando Alfageme,4-2-3-1,4-2-3-1,Italo Gonzáles,Match Report,
29,2022-09-18,15:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Mannucci,,,Yorkman Tello,4-3-3,4-2-3-1,Wilfredo Blas,Match Report,
30,2022-09-29,13:00,Liga 1,Torneo Clausura,Thu,Away,L,2,4,Sporting Cristal,,,Armando Alfageme,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
31,2022-10-05,15:00,Liga 1,Torneo Clausura,Wed,Home,D,1,1,Melgar,,,Yorkman Tello,4-4-2,4-3-3,Michael Espinoza,Match Report,
32,2022-10-16,15:00,Liga 1,Torneo Clausura,Sun,Home,W,4,1,USMP,,,Hernán Rengifo,4-3-3,3-4-3,Diego Haro,Match Report,
33,2022-10-20,15:30,Liga 1,Torneo Clausura,Thu,Away,D,2,2,UTC,,,Hernán Rengifo,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
34,2022-10-23,15:00,Liga 1,Torneo Clausura,Sun,Home,W,2,1,Cantolao,,,Hernán Rengifo,4-2-3-1,5-4-1,Roberto Pérez,Match Report,
35,2022-10-30,15:00,Liga 1,Torneo Clausura,Sun,Away,L,0,2,Alianza Lima,,,Emilio Gutiérrez,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
36,2023-02-11,15:30,Liga 1,Torneo Apertura,Sat,Home,L,1,2,Deportivo Garcilaso,,,Ignacio Barrios,4-3-3,4-2-3-1,Alejandro Villanueva,Match Report,
37,2023-02-19,13:00,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Atlético Grau,,,Ignacio Barrios,4-2-3-1,4-3-3,Luis Ciriaco Liñan,Match Report,
38,2023-02-26,15:30,Liga 1,Torneo Apertura,Sun,Home,W,3,0,Dep Municipal,,,Ignacio Barrios,4-4-2,4-2-3-1,James Huamaní,Match Report,
39,2023-03-04,16:00,Liga 1,Torneo Apertura,Sat,Away,D,0,0,Sporting Cristal,,,Ignacio Barrios,4-2-3-1,4-3-3,Pablo López,Match Report,
40,2023-03-10,15:30,Liga 1,Torneo Apertura,Fri,Home,W,1,0,Sport Boys,,,Ignacio Barrios,4-2-3-1,4-3-3,Wilmer Villanueva,Match Report,
41,2023-03-18,20:00,Liga 1,Torneo Apertura,Sat,Away,L,1,3,Universitario,,,Ignacio Barrios,4-2-3-1,5-3-2,Michael Espinoza,Match Report,
42,2023-03-26,15:30,Liga 1,Torneo Apertura,Sun,Home,D,0,0,Melgar,,,Ignacio Barrios,4-2-3-1,4-3-3,Daniel Ureta,Match Report,
43,2023-03-31,15:30,Liga 1,Torneo Apertura,Fri,Home,W,2,0,U César Vallejo,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
44,2023-04-08,15:30,Liga 1,Torneo Apertura,Sat,Away,L,0,1,UTC,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
45,2023-04-16,15:30,Liga 1,Torneo Apertura,Sun,Home,L,0,2,Cusco,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
46,2023-04-22,15:30,Liga 1,Torneo Apertura,Sat,Away,W,3,1,Sport Huancayo,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Sebastián Lozano,Match Report,
47,2023-04-30,15:30,Liga 1,Torneo Apertura,Sun,Home,L,3,4,Cienciano,,,Ignacio Barrios,4-2-3-1,4-3-3,Pablo López,Match Report,
48,2023-05-06,13:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Alianza Atlético,,,Ignacio Barrios,4-2-3-1,3-2-4-1,Jonathan Zamora,Match Report,
49,2023-05-12,18:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Binacional,,,Ignacio Barrios,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
50,2023-05-20,13:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Cantolao,,,Ignacio Barrios,4-2-3-1,4-3-3,Fernando Legario,Match Report,
51,2023-05-28,13:00,Liga 1,Torneo Apertura,Sun,Away,L,3,4,Unión Comercio,,,Ignacio Barrios,4-2-3-1,4-1-4-1,Kevin Ortega,Match Report,
52,2023-06-02,20:00,Liga 1,Torneo Apertura,Fri,Home,W,2,1,Alianza Lima,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
53,2023-06-10,20:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Mannucci,,,Ignacio Barrios,4-2-3-1,4-2-3-1,David Huaman,Match Report,
54,2023-06-22,18:00,Liga 1,Torneo Clausura,Thu,Away,L,0,4,Melgar,,,Ignacio Barrios,4-2-3-1,3-4-1-2,Jonathan Zamora,Match Report,
55,2023-07-01,15:30,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Binacional,,,Ignacio Barrios,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
56,2023-07-15,13:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Deportivo Garcilaso,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
57,2023-07-23,15:30,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Atlético Grau,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jonathan Zamora,Match Report,
58,2023-08-01,15:00,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Dep Municipal,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
59,2023-08-06,15:15,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Sporting Cristal,,,Ignacio Barrios,4-2-3-1,4-1-4-1,Daniel Ureta,Match Report,
60,2023-08-12,13:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sport Boys,,,Ignacio Barrios,4-2-3-1,4-3-3,Fernando Legario,Match Report,
