,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2021-03-20,13:15,Liga 1,Group Stage,Sat,Away,L,1,2,USMP,,,Ignacio Barrios,4-4-2,4-2-3-1,Renzo Castañeda,Match Report,
1,2021-03-27,11:00,Liga 1,Group Stage,Sat,Away,L,0,1,Cienciano,,,Ignacio Barrios,4-4-2,4-4-2,Diego Haro,Match Report,
2,2021-04-15,11:00,Liga 1,Group Stage,Thu,Home,L,0,1,Ayacucho,,,Ignacio Barrios,4-2-3-1,4-2-3-1,Pablo López,Match Report,
3,2021-04-26,11:00,Liga 1,Group Stage,Mon,Away,W,3,1,Mannucci,,,Ignacio Barrios,4-4-2,4-2-3-1,Luis Garay Evia,Match Report,
4,2021-05-01,15:30,Liga 1,Group Stage,Sat,Home,L,1,2,Universitario,,,Ignacio Barrios,4-2-3-1,3-5-2,Micke Palomino,Match Report,
5,2021-05-08,11:00,Liga 1,Group Stage,Sat,Away,W,3,1,Melgar,,,Frank Aivar,4-4-2,4-2-3-1,Jordy Espinoza,Match Report,
6,2021-05-12,15:30,Liga 1,Group Stage,Wed,Home,D,0,0,Alianza Lima,,,,5-3-2,3-4-3,Jesús Cartagena,Match Report,
7,2021-05-17,15:30,Liga 1,Group Stage,Mon,Home,L,0,1,Cantolao,,,Frank Aivar,4-1-4-1,3-4-1-2,Pablo López,Match Report,
8,2021-05-22,13:15,Liga 1,Group Stage,Sat,Away,W,2,0,UTC,,,Rinaldo Cruzado,3-4-3,4-2-3-1,David Huaman,Match Report,
9,2021-07-19,15:30,Liga 1,Torneo Clausura,Mon,Away,D,2,2,Universitario,,,Rinaldo Cruzado,4-4-2,4-2-3-1,Luis Garay Evia,Match Report,
10,2021-07-24,11:00,Liga 1,Torneo Clausura,Sat,Home,W,1,0,Sport Huancayo,,,Rinaldo Cruzado,3-4-1-2,4-2-3-1,Micke Palomino,Match Report,
11,2021-07-31,11:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,U César Vallejo,,,Frank Aivar,4-4-2◆,4-4-2,Jonathan Zamora,Match Report,
12,2021-08-04,12:00,Liga 1,Torneo Clausura,Wed,Home,L,0,3,Binacional,,,Rinaldo Cruzado,3-4-1-2,3-4-3,Joel Alarcón,Match Report,
13,2021-08-08,11:00,Liga 1,Torneo Clausura,Sun,Away,L,0,3,Cusco,,,Rinaldo Cruzado,4-3-3,4-1-4-1,Augusto Menéndez,Match Report,
14,2021-08-13,13:15,Liga 1,Torneo Clausura,Fri,Home,D,3,3,Melgar,,,Ignacio Barrios,3-4-3,4-2-3-1,Jesús Cartagena,Match Report,
