,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-01-31,20:30,Liga 1,Torneo Apertura,Fri,Home,L,2,3,Alianza Univ,,,Josepmir Ballón,3-4-3,4-4-2,Augusto Menéndez,Match Report,
1,2020-02-09,17:15,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Mannucci,,,Aldair Fuentes,3-4-3,4-2-3-1,Miguel Santiváñez,Match Report,
2,2020-02-15,20:00,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Atlético Grau,,,Aldair Fuentes,5-3-2,4-1-4-1,Joel Alarcón,Match Report,
3,2020-02-23,15:30,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Ayacucho,,,Aldair Fuentes,3-5-2,4-2-3-1,Edwin Ordóñez,Match Report,
4,2020-02-28,20:00,Liga 1,Torneo Apertura,Fri,Home,W,1,0,Dep Municipal,,,Alberto Rodríguez,4-3-3,4-2-3-1,Luis Garay Evia,Match Report,
5,2020-03-05,21:00,Libertadores,Group stage,Thu,Home,L,0,1,uy Nacional,70,,Leao Butrón,5-3-2,4-4-1-1,Bruno Arleu de Araujo,Match Report,
6,2020-03-08,15:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,Universitario,,,Aldair Fuentes,5-3-2,4-3-3,Miguel Santiváñez,Match Report,
7,2020-03-12,21:00,Libertadores,Group stage,Thu,Away,L,0,1,ar Racing Club,29,,Leao Butrón,4-2-3-1,4-1-4-1,José Méndez,Match Report,
8,2020-08-10,13:15,Liga 1,Torneo Apertura,Mon,Home,W,3,0,Binacional,,,,,,,Match Report,Match awarded to Alianza Lima
9,2020-08-25,14:15,Liga 1,Torneo Apertura,Tue,Away,D,1,1,Sporting Cristal,,,Leao Butrón,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
10,2020-08-29,13:15,Liga 1,Torneo Apertura,Sat,Home,D,0,0,Cusco,,,Leao Butrón,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
11,2020-09-07,11:00,Liga 1,Torneo Apertura,Mon,Away,D,2,2,Melgar,,,Leao Butrón,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
12,2020-09-11,15:30,Liga 1,Torneo Apertura,Fri,Home,L,0,2,UTC,,,Rinaldo Cruzado,4-3-3,4-2-3-1,Kevin Ortega,Match Report,
13,2020-09-16,18:15,Libertadores,Group stage,Wed,Away,L,2,3,ve Estud Mérida,43,,Leao Butrón,4-2-3-1,4-4-2,Nicolás Gallo,Match Report,
14,2020-09-19,13:15,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Sport Huancayo,,,Carlos Ascues,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
15,2020-09-21,15:30,Liga 1,Torneo Apertura,Mon,Home,D,1,1,U César Vallejo,,,Carlos Javier Beltrán,4-2-3-1,4-3-2-1,Micke Palomino,Match Report,
