,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-01-31,20:30,Liga 1,Torneo Apertura,Fri,Away,W,3,2,Alianza Lima,,,Diego Hernán Morales,4-4-2,3-4-3,Augusto Menéndez,Match Report,
1,2020-02-09,15:00,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Carlos Stein,,,,4-2-3-1,5-3-2,David Huaman,Match Report,
2,2020-02-16,11:00,Liga 1,Torneo Apertura,Sun,Away,W,2,1,USMP,,,,4-2-3-1,4-3-3,Jesús Cartagena,Match Report,
3,2020-02-24,20:00,Liga 1,Torneo Apertura,Mon,Home,W,1,0,Cienciano,,,,4-3-3,4-4-2,Michael Espinoza,Match Report,
4,2020-02-29,20:00,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Llacuabamba,,,,,,Fernando Legario,Match Report,
5,2020-03-09,15:00,Liga 1,Torneo Apertura,Mon,Away,D,1,1,Ayacucho,,,Diego Hernán Morales,4-4-2,4-2-3-1,Joel Alarcón,Match Report,
6,2020-08-19,13:15,Liga 1,Torneo Apertura,Wed,Home,L,0,1,Mannucci,,,Diego Hernán Morales,4-4-2,4-2-3-1,Víctor Carrillo,Match Report,
7,2020-08-27,13:15,Liga 1,Torneo Apertura,Thu,Away,D,1,1,Atlético Grau,,,Diego Hernán Morales,4-4-2,4-2-3-1,Renzo Castañeda,Match Report,
8,2020-08-31,15:30,Liga 1,Torneo Apertura,Mon,Home,D,1,1,Dep Municipal,,,Diego Hernán Morales,4-4-2,4-2-3-1,Roberto Pérez,Match Report,
9,2020-09-07,13:15,Liga 1,Torneo Apertura,Mon,Away,L,2,3,Universitario,,,Diego Hernán Morales,4-4-2,4-2-3-1,Kevin Ortega,Match Report,
10,2020-09-11,11:00,Liga 1,Torneo Apertura,Fri,Home,L,1,2,Binacional,,,Diego Hernán Morales,4-3-3,4-4-2,Diego Haro,Match Report,
11,2020-09-19,18:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Sporting Cristal,,,Diego Hernán Morales,4-2-3-1,4-3-3,Roberto Pérez,Match Report,
12,2020-09-23,11:00,Liga 1,Torneo Apertura,Wed,Home,W,1,0,Cusco,,,,4-2-3-1,4-2-3-1,José Mendoza,Match Report,
13,2020-09-28,15:30,Liga 1,Torneo Apertura,Mon,Away,L,0,1,Melgar,,,Diego Hernán Morales,4-2-3-1,4-3-3,Víctor Carrillo,Match Report,
14,2020-10-01,15:30,Liga 1,Torneo Apertura,Thu,Home,D,0,0,UTC,,,Diego Hernán Morales,4-4-2,4-2-3-1,Jonathan Zamora,Match Report,
15,2020-10-05,15:30,Liga 1,Torneo Apertura,Mon,Away,W,1,0,Sport Huancayo,,,Diego Hernán Morales,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
16,2020-10-09,15:30,Liga 1,Torneo Apertura,Fri,Home,D,0,0,U César Vallejo,,,Diego Hernán Morales,4-2-2-2,3-4-3,Roberto Pérez,Match Report,
17,2020-10-12,15:00,Liga 1,Torneo Apertura,Mon,Away,W,2,1,Cantolao,,,Diego Hernán Morales,4-2-2-2,4-2-3-1,Pablo López,Match Report,
18,2020-10-17,15:30,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Sport Boys,,,Diego Hernán Morales,4-2-2-2,4-4-2,Víctor Carrillo,Match Report,
19,2020-10-26,13:00,Liga 1,Group Stage,Mon,Home,L,0,1,USMP,,,Diego Hernán Morales,4-4-2,4-3-3,Renzo Castañeda,Match Report,
20,2020-10-31,15:30,Liga 1,Group Stage,Sat,Home,L,0,1,Universitario,,,Diego Hernán Morales,4-4-2,4-2-3-1,Augusto Menéndez,Match Report,
21,2020-11-04,15:30,Liga 1,Group Stage,Wed,Away,L,1,2,Binacional,,,Diego Hernán Morales,4-4-2,4-2-3-1,Michael Espinoza,Match Report,
22,2020-11-07,11:00,Liga 1,Group Stage,Sat,Home,W,3,2,Carlos Stein,,,Diego Hernán Morales,4-4-2,4-2-3-1,Miguel Santiváñez,Match Report,
23,2020-11-10,18:00,Liga 1,Group Stage,Tue,Away,L,0,2,Sporting Cristal,,,Diego Hernán Morales,4-4-2,4-1-4-1,Luis Garay Evia,Match Report,
