,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-01,17:30,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Sport Huancayo,,,Bernardo Medina,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
1,2020-02-08,13:15,Liga 1,Torneo Apertura,Sat,Home,D,1,1,U César Vallejo,,,,,,Luis Seminario,Match Report,
2,2020-02-11,17:15,Sudamericana,First stage,Tue,Home,L,1,2,uy River Plate,66,,Bernardo Medina,4-1-4-1,3-5-2,Piero Maza,Match Report,Leg 1 of 2
3,2020-02-15,20:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Alianza Lima,,,Bernardo Medina,4-1-4-1,5-3-2,Joel Alarcón,Match Report,
4,2020-02-22,13:15,Liga 1,Torneo Apertura,Sat,Home,L,2,3,Sport Boys,,,,,,Renzo Castañeda,Match Report,
5,2020-02-25,19:15,Sudamericana,First stage,Tue,Away,L,0,1,uy River Plate,47,,Bernardo Medina,4-1-4-1,5-3-2,José Méndez,Match Report,Leg 2 of 2; River Plate won
6,2020-02-29,13:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Cantolao,,,Bernardo Medina,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
7,2020-03-08,13:15,Liga 1,Torneo Apertura,Sun,Home,D,0,0,USMP,,,,4-2-3-1,4-3-3,Roberto Pérez,Match Report,
8,2020-08-18,11:00,Liga 1,Torneo Apertura,Tue,Away,L,0,3,Cienciano,,,Jorge Yglesias,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,Match awarded to Cienciano
9,2020-08-27,13:15,Liga 1,Torneo Apertura,Thu,Home,D,1,1,Alianza Univ,,,Jorge Yglesias,4-2-3-1,4-4-2,Renzo Castañeda,Match Report,
10,2020-09-01,15:30,Liga 1,Torneo Apertura,Tue,Away,L,0,2,Llacuabamba,,,Jorge Yglesias,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
11,2020-09-09,15:30,Liga 1,Torneo Apertura,Wed,Home,D,2,2,Ayacucho,,,Bernardo Medina,3-4-3,4-2-3-1,Eduardo Chirinos,Match Report,
12,2020-09-14,15:30,Liga 1,Torneo Apertura,Mon,Away,W,2,0,Mannucci,,,Bernardo Medina,3-4-3,4-2-3-1,Wilmer Villanueva,Match Report,
13,2020-09-18,11:00,Liga 1,Torneo Apertura,Fri,Away,D,1,1,Carlos Stein,,,Bernardo Medina,3-4-1-2,4-2-3-1,José Mendoza,Match Report,
14,2020-09-22,15:00,Liga 1,Torneo Apertura,Tue,Home,W,3,2,Dep Municipal,,,Bernardo Medina,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
15,2020-09-25,15:30,Liga 1,Torneo Apertura,Fri,Away,L,0,2,Universitario,,,Bernardo Medina,5-3-2,4-2-3-1,Augusto Menéndez,Match Report,
16,2020-10-03,18:00,Liga 1,Torneo Apertura,Sat,Away,W,2,1,Sporting Cristal,,,Bernardo Medina,4-4-2,4-3-3,Renzo Castañeda,Match Report,
17,2020-10-07,15:30,Liga 1,Torneo Apertura,Wed,Home,D,2,2,Binacional,,,Bernardo Medina,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
18,2020-10-10,15:00,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Cusco,,,Bernardo Medina,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
19,2020-10-14,11:00,Liga 1,Torneo Apertura,Wed,Away,L,0,3,Melgar,,,Bernardo Medina,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
20,2020-10-19,15:30,Liga 1,Torneo Apertura,Mon,Home,D,0,0,UTC,,,Bernardo Medina,4-2-3-1,4-2-3-1,Eduardo Chirinos,Match Report,
21,2020-10-24,15:30,Liga 1,Group Stage,Sat,Away,L,1,2,Universitario,,,Bernardo Medina,4-3-1-2,4-2-3-1,Edwin Ordóñez,Match Report,
22,2020-10-30,11:00,Liga 1,Group Stage,Fri,Away,D,0,0,Cantolao,,,Bernardo Medina,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
23,2020-11-03,18:00,Liga 1,Group Stage,Tue,Home,L,1,4,Sporting Cristal,,,Bernardo Medina,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
24,2020-11-07,15:30,Liga 1,Group Stage,Sat,Away,D,0,0,UTC,,,Bernardo Medina,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
25,2020-11-11,11:00,Liga 1,Group Stage,Wed,Home,L,0,2,USMP,,,Bernardo Medina,4-2-3-1,4-3-3,Miguel Santiváñez,Match Report,
26,2020-11-16,11:00,Liga 1,Group Stage,Mon,Home,W,3,1,Carlos Stein,,,Bernardo Medina,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
27,2020-11-20,13:15,Liga 1,Group Stage,Fri,Away,L,0,1,Cienciano,,,Bernardo Medina,4-2-3-1,3-5-2,Michael Espinoza,Match Report,
28,2020-11-24,15:00,Liga 1,Group Stage,Tue,Away,W,3,1,Binacional,,,Bernardo Medina,4-1-4-1,4-3-3,José Mendoza,Match Report,
29,2020-11-28,15:30,Liga 1,Group Stage,Sat,Home,D,1,1,Alianza Univ,,,Bernardo Medina,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
30,2022-02-04,19:00,Liga 1,Torneo Apertura,Fri,Away,D,1,1,Alianza Lima,,,Paolo de la Haza,3-5-2,3-5-2,Michael Espinoza,Match Report,
31,2022-02-13,13:30,Liga 1,Torneo Apertura,Sun,Home,L,3,4,Sport Huancayo,,,Paolo de la Haza,3-5-2,4-3-3,Joel Alarcón,Match Report,
32,2022-02-19,15:30,Liga 1,Torneo Apertura,Sat,Away,D,0,0,UTC,,,Paolo de la Haza,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
33,2022-02-26,13:30,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Cantolao,,,Paolo de la Haza,4-2-3-1,4-4-1-1,Luis Garay Evia,Match Report,
34,2022-03-07,15:00,Liga 1,Torneo Apertura,Mon,Away,W,2,1,USMP,,,Paolo de la Haza,4-2-3-1,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
35,2022-03-13,13:00,Liga 1,Torneo Apertura,Sun,Home,D,1,1,U César Vallejo,,,Paolo de la Haza,4-2-3-1,4-4-2,Jonathan Zamora,Match Report,
36,2022-03-20,13:15,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Dep Municipal,,,Paolo de la Haza,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
37,2022-04-03,15:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Cienciano,,,Raúl Fernández,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
38,2022-04-09,15:30,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Binacional,,,Raúl Fernández,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
39,2022-04-16,13:00,Liga 1,Torneo Apertura,Sat,Home,W,4,1,ADT Tarma,,,Raúl Fernández,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
40,2022-04-22,15:30,Liga 1,Torneo Apertura,Fri,Away,W,2,1,Ayacucho,,,Raúl Fernández,4-2-3-1,3-4-3,Hibert Villegas,Match Report,
41,2022-05-01,13:00,Liga 1,Torneo Apertura,Sun,Home,L,0,1,Universitario,,,Ronald Ruíz,4-2-3-1,4-4-2,Luis Seminario,Match Report,
42,2022-05-07,13:15,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Sport Boys,,,Raúl Fernández,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
43,2022-05-16,11:00,Liga 1,Torneo Apertura,Mon,Away,D,1,1,Carlos Stein,,,Raúl Fernández,4-2-3-1,4-2-3-1,Pablo López,Match Report,
44,2022-05-22,13:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Alianza Atlético,,,Paolo de la Haza,4-3-3,4-2-3-1,Hibert Villegas,Match Report,
45,2022-05-28,18:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Mannucci,,,Paolo de la Haza,4-2-3-1,4-4-2,Augusto Menéndez,Match Report,
46,2022-06-19,13:00,Liga 1,Torneo Apertura,Sun,Home,L,0,2,Sporting Cristal,,,Raúl Fernández,4-4-2,4-3-3,Daniel Ureta,Match Report,
47,2022-06-24,19:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Melgar,,,Rodrigo Salinas,4-3-3,4-2-3-1,Jesús Cartagena,Match Report,
48,2022-07-10,13:00,Liga 1,Torneo Clausura,Sun,Home,L,1,2,Alianza Lima,,,Rodrigo Salinas,3-4-3,4-4-2,David Huaman,Match Report,
49,2022-07-16,18:00,Liga 1,Torneo Clausura,Sat,Away,D,1,1,Sport Huancayo,,,Rodrigo Salinas,4-4-2,3-4-1-2,Edwin Ordóñez,Match Report,
50,2022-07-23,13:00,Liga 1,Torneo Clausura,Sat,Home,W,3,1,UTC,,,Rodrigo Salinas,4-2-3-1,4-3-3,Robin Segura Tuanama,Match Report,
51,2022-07-26,13:00,Liga 1,Torneo Clausura,Tue,Away,W,2,1,Cantolao,,,Rodrigo Salinas,4-4-2,4-2-3-1,Luis Seminario,Match Report,
52,2022-07-31,13:00,Liga 1,Torneo Clausura,Sun,Home,W,1,0,USMP,,,Rodrigo Salinas,5-3-2,4-3-3,Beider Joel Vásquez Guevara,Match Report,
53,2022-08-07,11:00,Liga 1,Torneo Clausura,Sun,Away,W,1,0,U César Vallejo,,,Rodrigo Salinas,4-3-3,3-4-3,Robin Segura Tuanama,Match Report,
