,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-02,11:00,Liga 1,Torneo Apertura,Sun,Away,L,1,3,USMP,,,Mauricio Montes,4-4-2,4-3-3,Renzo Castañeda,Match Report,
1,2020-02-07,15:00,Liga 1,Torneo Apertura,Fri,Home,W,2,1,Sport Boys,,,Mauricio Montes,4-4-2,4-2-3-1,Jorge Panta,Match Report,
2,2020-02-15,13:00,Liga 1,Torneo Apertura,Sat,Away,W,2,0,Cantolao,,,Mauricio Montes,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
3,2020-02-23,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Alianza Lima,,,Mauricio Montes,4-2-3-1,3-5-2,Edwin Ordóñez,Match Report,
4,2020-02-29,15:30,Liga 1,Torneo Apertura,Sat,Away,W,4,1,Cienciano,,,Mauricio Montes,4-2-3-1,4-2-3-1,Ramón Blanco,Match Report,
5,2020-03-09,15:00,Liga 1,Torneo Apertura,Mon,Home,D,1,1,Alianza Univ,,,Mauricio Montes,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
6,2020-08-19,15:30,Liga 1,Torneo Apertura,Wed,Away,W,3,1,Llacuabamba,,,Robert Ardiles,4-1-3-2,4-3-3,Augusto Menéndez,Match Report,
7,2020-08-26,15:30,Liga 1,Torneo Apertura,Wed,Home,D,1,1,Sport Huancayo,,,Robert Ardiles,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
8,2020-09-01,18:00,Liga 1,Torneo Apertura,Tue,Home,L,1,2,Mannucci,,,Mauricio Montes,4-2-3-1,4-2-3-1,Renzo Castañeda,Match Report,
9,2020-09-09,15:30,Liga 1,Torneo Apertura,Wed,Away,D,2,2,Atlético Grau,,,Mauricio Montes,4-2-3-1,3-4-3,Eduardo Chirinos,Match Report,
10,2020-09-14,13:15,Liga 1,Torneo Apertura,Mon,Home,L,1,2,Dep Municipal,,,Mauricio Montes,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
11,2020-09-18,18:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Universitario,,,Mauricio Montes,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
