,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-03,15:00,Liga 1,Torneo Apertura,Mon,Away,W,2,0,Cusco,,,Reimond Manco,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
1,2020-02-08,15:00,Liga 1,Torneo Apertura,Sat,Home,L,2,4,Melgar,,,Reimond Manco,4-2-3-1,4-1-4-1,Roberto Pérez,Match Report,
2,2020-02-14,20:00,Liga 1,Torneo Apertura,Fri,Away,W,2,0,U César Vallejo,,,Reimond Manco,4-4-2,3-4-3,Renzo Castañeda,Match Report,
3,2020-02-21,18:00,Liga 1,Torneo Apertura,Fri,Home,W,1,0,UTC,,,Yorkman Tello,4-2-3-1,4-3-1-2,Ramón Blanco,Match Report,
4,2020-03-01,15:00,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Carlos Stein,,,,,,Luis Seminario,Match Report,
5,2020-03-05,19:00,Libertadores,Group stage,Thu,Home,W,2,1,br São Paulo,48,,Yorkman Tello,4-2-3-1,4-2-3-1,José Méndez,Match Report,
6,2020-03-08,19:30,Liga 1,Torneo Apertura,Sun,Home,W,3,1,Sport Boys,,,Yorkman Tello,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
7,2020-03-11,19:15,Libertadores,Group stage,Wed,Away,L,0,8,ar River Plate,29,,Yorkman Tello,5-3-2,3-5-2,Jesús Valenzuela,Match Report,
8,2020-08-10,13:15,Liga 1,Torneo Apertura,Mon,Away,L,0,3,Alianza Lima,,,,,,,Match Report,Match awarded to Alianza Lima
9,2020-08-25,11:00,Liga 1,Torneo Apertura,Tue,Home,L,2,3,Cantolao,,,John Fajardo,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
10,2020-09-01,13:15,Liga 1,Torneo Apertura,Tue,Away,D,0,0,USMP,,,Yorkman Tello,4-2-3-1,4-4-2,Fernando Legario,Match Report,
11,2020-09-07,18:00,Liga 1,Torneo Apertura,Mon,Home,D,0,0,Cienciano,,,Yorkman Tello,4-2-3-1,4-2-3-1,Ramón Blanco,Match Report,
12,2020-09-11,11:00,Liga 1,Torneo Apertura,Fri,Away,W,2,1,Alianza Univ,,,Yorkman Tello,4-4-2,4-3-3,Diego Haro,Match Report,
13,2020-09-15,19:30,Libertadores,Group stage,Tue,Home,L,0,1,ec LDU de Quito,44,,Yorkman Tello,4-4-2,4-2-3-1,Ivo Méndez,Match Report,
14,2020-09-18,13:00,Liga 1,Torneo Apertura,Fri,Home,W,2,1,Llacuabamba,,,Yorkman Tello,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
15,2020-09-22,19:30,Libertadores,Group stage,Tue,Home,L,0,6,ar River Plate,30,,Yorkman Tello,4-5-1,4-1-3-2,Gery Vargas,Match Report,
16,2020-09-24,15:30,Liga 1,Torneo Apertura,Thu,Away,L,0,1,Ayacucho,,,Yorkman Tello,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
17,2020-09-26,15:30,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Mannucci,,,Yorkman Tello,4-5-1,4-2-3-1,Ramón Blanco,Match Report,
18,2020-09-29,19:30,Libertadores,Group stage,Tue,Away,L,0,4,ec LDU de Quito,35,,Yorkman Tello,4-5-1,4-4-2,John J. Ospina,Match Report,
19,2020-10-03,13:00,Liga 1,Torneo Apertura,Sat,Home,L,1,3,Dep Municipal,,,Yorkman Tello,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
20,2020-10-07,15:30,Liga 1,Torneo Apertura,Wed,Away,D,2,2,Atlético Grau,,,Yorkman Tello,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
21,2020-10-10,15:30,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Universitario,,,Jeickson Reyes,4-2-3-1,4-1-4-1,Edwin Ordóñez,Match Report,
22,2020-10-13,15:30,Liga 1,Torneo Apertura,Tue,Away,L,0,1,Sport Huancayo,,,Jeickson Reyes,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
23,2020-10-17,18:00,Liga 1,Torneo Apertura,Sat,Home,L,3,6,Sporting Cristal,,,Yorkman Tello,4-2-3-1,4-3-3,Diego Haro,Match Report,
24,2020-10-20,21:30,Libertadores,Group stage,Tue,Away,L,1,5,br São Paulo,25,,Jeickson Reyes,4-5-1,4-4-2,Facundo Tello,Match Report,
25,2020-10-26,18:00,Liga 1,Group Stage,Mon,Away,L,0,3,UTC,,,Jeickson Reyes,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
26,2020-10-31,13:15,Liga 1,Group Stage,Sat,Away,W,2,0,USMP,,,Yorkman Tello,4-2-3-1,4-3-3,Edwin Ordóñez,Match Report,
27,2020-11-04,15:30,Liga 1,Group Stage,Wed,Home,W,2,1,Alianza Univ,,,Yorkman Tello,4-2-3-1,4-4-2,Michael Espinoza,Match Report,
28,2020-11-07,13:15,Liga 1,Group Stage,Sat,Away,D,1,1,Cienciano,,,Yorkman Tello,4-3-3,3-5-2,Kevin Ortega,Match Report,
29,2020-11-10,11:00,Liga 1,Group Stage,Tue,Home,W,1,0,Cantolao,,,Yorkman Tello,4-3-3,4-4-2,Edwin Ordóñez,Match Report,
30,2020-11-14,18:00,Liga 1,Group Stage,Sat,Home,L,1,2,Sporting Cristal,,,Yorkman Tello,4-3-3,4-3-3,Michael Espinoza,Match Report,
31,2020-11-21,11:00,Liga 1,Group Stage,Sat,Away,W,3,1,Carlos Stein,,,Yorkman Tello,4-3-3,4-2-3-1,Miguel Santiváñez,Match Report,
32,2020-11-24,15:00,Liga 1,Group Stage,Tue,Home,L,1,3,Atlético Grau,,,Yorkman Tello,4-3-3,4-1-4-1,José Mendoza,Match Report,
33,2020-11-30,13:15,Liga 1,Group Stage,Mon,Home,L,0,2,Universitario,,,Yorkman Tello,4-2-3-1,4-2-3-1,Micke Palomino,Match Report,
34,2021-03-12,18:00,Liga 1,Group Stage,Fri,Home,L,0,4,Sporting Cristal,,,Johan Arango,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
35,2021-03-22,11:00,Liga 1,Group Stage,Mon,Away,L,0,3,Sport Huancayo,,,Johan Arango,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
36,2021-03-29,13:15,Liga 1,Group Stage,Mon,Away,L,2,3,Sport Boys,,,Johan Arango,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
37,2021-04-13,15:30,Liga 1,Group Stage,Tue,Home,W,2,1,Alianza Univ,,,Johan Arango,4-4-2,4-3-3,Kevin Ortega,Match Report,
38,2021-04-23,15:30,Liga 1,Group Stage,Fri,Away,L,1,2,Dep Municipal,,,Johan Arango,3-4-3,4-4-2,Jesús Cartagena,Match Report,
39,2021-05-01,11:00,Liga 1,Group Stage,Sat,Home,D,1,1,Melgar,,,,3-4-3,4-2-3-1,José Mendoza,Match Report,
40,2021-05-07,15:30,Liga 1,Group Stage,Fri,Away,L,0,2,Alianza Lima,,,Johan Arango,3-4-3,4-2-3-1,Edwin Ordóñez,Match Report,
41,2021-05-15,11:00,Liga 1,Group Stage,Sat,Home,L,1,2,U César Vallejo,,,Ángel Pérez,4-2-3-1,3-5-2,José Mendoza,Match Report,
42,2021-05-21,13:15,Liga 1,Group Stage,Fri,Away,L,1,3,Cusco,,,Ángel Pérez,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
43,2021-07-19,11:00,Liga 1,Torneo Clausura,Mon,Home,D,1,1,Alianza Univ,,,Raúl Fernández,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,
44,2021-07-25,11:00,Liga 1,Torneo Clausura,Sun,Away,D,2,2,Cusco,,,Raúl Fernández,3-4-3,4-3-3,José Mendoza,Match Report,
45,2021-08-01,13:15,Liga 1,Torneo Clausura,Sun,Home,L,1,5,Melgar,,,Raúl Fernández,3-4-3,4-2-3-1,Renzo Castañeda,Match Report,
46,2021-08-04,12:00,Liga 1,Torneo Clausura,Wed,Away,W,3,0,Alianza Atlético,,,Raúl Fernández,3-4-3,3-4-1-2,Joel Alarcón,Match Report,
47,2021-08-07,13:15,Liga 1,Torneo Clausura,Sat,Home,W,1,0,UTC,,,Raúl Fernández,3-4-3,4-2-3-1,Edwin Ordóñez,Match Report,
48,2021-08-13,15:30,Liga 1,Torneo Clausura,Fri,Away,L,1,3,Mannucci,,,Raúl Fernández,4-3-3,4-4-2,Augusto Menéndez,Match Report,
49,2021-08-22,11:00,Liga 1,Torneo Clausura,Sun,Away,L,0,2,Cienciano,,,Johan Arango,4-4-2,4-3-3,Kevin Ortega,Match Report,
50,2021-08-27,11:00,Liga 1,Torneo Clausura,Fri,Home,W,3,1,Ayacucho,,,Raúl Fernández,3-4-3,4-2-3-1,Joel Alarcón,Match Report,
51,2021-09-12,13:15,Liga 1,Torneo Clausura,Sun,Away,L,2,3,Alianza Lima,,,Raúl Fernández,3-4-3,3-4-1-2,Augusto Menéndez,Match Report,
52,2021-09-18,15:30,Liga 1,Torneo Clausura,Sat,Home,L,1,2,Sport Boys,,,Raúl Fernández,3-4-3,5-3-2,Edwin Ordóñez,Match Report,
53,2021-09-23,13:15,Liga 1,Torneo Clausura,Thu,Away,W,2,1,Cantolao,,,Michael Sotillo,4-4-2,3-4-3,Augusto Menéndez,Match Report,
54,2021-09-27,15:30,Liga 1,Torneo Clausura,Mon,Home,W,1,0,USMP,,,Michael Sotillo,3-4-3,4-2-3-1,Hibert Villegas,Match Report,
55,2021-10-02,13:00,Liga 1,Torneo Clausura,Sat,Away,W,2,1,Dep Municipal,,,Michael Sotillo,3-4-3,4-2-3-1,Augusto Menéndez,Match Report,
56,2021-10-08,15:30,Liga 1,Torneo Clausura,Fri,Home,L,3,4,Sporting Cristal,,,Michael Sotillo,3-4-3,4-2-3-1,Jesús Cartagena,Match Report,
57,2021-10-18,13:15,Liga 1,Torneo Clausura,Mon,Home,L,1,2,Universitario,,,Michael Sotillo,5-4-1,4-3-3,Edwin Ordóñez,Match Report,
58,2021-10-23,11:00,Liga 1,Torneo Clausura,Sat,Away,L,0,2,Sport Huancayo,,,John Fajardo,3-4-1-2,4-2-3-1,Joel Alarcón,Match Report,
59,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Home,D,0,0,U César Vallejo,,,Michael Sotillo,3-4-1-2,3-4-3,Edwin Ordóñez,Match Report,
60,2022-02-14,19:00,Liga 1,Torneo Apertura,Mon,Home,W,5,0,Cantolao,,,Edson Aubert,4-3-3,4-1-4-1,Gean Pierre Barbagelatta,Match Report,
61,2022-02-19,13:15,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Dep Municipal,,,Edson Aubert,4-2-3-1,4-2-3-1,David Huaman,Match Report,
62,2022-02-25,19:00,Liga 1,Torneo Apertura,Fri,Home,W,3,2,Cienciano,,,Edson Aubert,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
63,2022-03-07,19:00,Liga 1,Torneo Apertura,Mon,Home,L,0,1,ADT Tarma,,,Edson Aubert,4-2-3-1,5-3-2,Joel Alarcón,Match Report,
64,2022-03-13,15:30,Liga 1,Torneo Apertura,Sun,Away,W,3,2,Ayacucho,,,Edson Aubert,4-3-3,4-4-1-1,Fernando Legario,Match Report,
65,2022-03-20,18:00,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Universitario,,,Edson Aubert,4-3-3,5-4-1,Edwin Ordóñez,Match Report,
