,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2024-01-29,15:00,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Unión Comercio,,,Rudy Palomino,4-2-3-1,5-4-1,,Match Report,
1,2024-02-05,15:00,Liga 1,Torneo Apertura,Mon,Away,L,2,3,Comerciantes Unidos,,,Rudy Palomino,4-2-3-1,4-2-3-1,,Match Report,
2,2024-02-11,15:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,ADT Tarma,,,Rudy Palomino,4-2-3-1,3-2-4-1,,Match Report,
3,2024-02-15,20:00,Liga 1,Torneo Apertura,Thu,Away,L,1,4,Sporting Cristal,,,Rudy Palomino,4-2-3-1,4-2-3-1,,Match Report,
4,2024-02-26,15:00,Liga 1,Torneo Apertura,Mon,Home,L,1,2,Cienciano,,,Rudy Palomino,4-2-3-1,4-4-1-1,,Match Report,
5,2024-03-03,15:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Sport Boys,,,Rudy Palomino,4-2-3-1,5-4-1,,Match Report,
6,2024-03-09,16:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Mannucci,,,Rudy Palomino,4-2-3-1,4-2-3-1,,Match Report,
7,2024-03-15,15:30,Liga 1,Torneo Apertura,Fri,Home,L,0,1,Atlético Grau,,,Rudy Palomino,4-2-3-1,4-2-3-1,,Match Report,
8,2024-03-28,20:00,Liga 1,Torneo Apertura,Thu,Away,L,0,3,Alianza Lima,,,Michael Sotillo,4-2-3-1,3-5-2,,Match Report,
9,2024-04-06,13:00,Liga 1,Torneo Apertura,Sat,Home,D,2,2,Melgar,,,Abel Casquete,4-2-3-1,4-2-3-1,,Match Report,
10,2024-04-15,15:00,Liga 1,Torneo Apertura,Mon,Away,L,0,2,UTC,,,Ederson Mogollón,4-2-3-1,4-2-3-1,,Match Report,
11,2024-04-20,13:00,Liga 1,Torneo Apertura,Sat,Home,W,6,0,Sport Huancayo,,,Michael Sotillo,4-2-3-1,4-2-3-1,,Match Report,
12,2024-04-28,20:00,Liga 1,Torneo Apertura,Sun,Away,D,1,1,Deportivo Garcilaso,,,Daniel Ferreyra,3-4-1-2,4-2-3-1,,Match Report,
13,2024-05-04,13:00,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Cusco,,,Daniel Ferreyra,3-4-3,4-4-2,,Match Report,
14,2024-05-11,21:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,U César Vallejo,,,Daniel Ferreyra,3-4-3,4-3-3,,Match Report,
15,2024-05-19,15:30,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Alianza Atlético,,,Daniel Ferreyra,3-4-3,4-5-1,,Match Report,
16,2024-05-25,15:00,Liga 1,Torneo Apertura,Sat,Away,L,0,4,Universitario,,,Daniel Ferreyra,5-3-2,3-1-4-2,,Match Report,
17,2024-07-12,13:00,Liga 1,Torneo Clausura,Fri,Away,W,2,1,Unión Comercio,,,Abel Casquete,4-2-3-1,4-1-4-1,,Match Report,
18,2024-07-20,13:00,Liga 1,Torneo Clausura,Sat,Home,W,2,0,Comerciantes Unidos,,,Abel Casquete,4-2-3-1,4-1-4-1,,Match Report,
19,2024-07-27,15:15,Liga 1,Torneo Clausura,Sat,Away,L,1,2,ADT Tarma,,,Carlos López,3-4-3,3-4-1-2,,Match Report,
20,2024-07-31,15:15,Liga 1,Torneo Clausura,Wed,Home,D,3,3,Sporting Cristal,,,Carlos López,4-2-3-1,4-3-3,,Match Report,
21,2024-08-03,18:00,Liga 1,Torneo Clausura,Sat,Away,D,0,0,Cienciano,,,Carlos López,4-2-3-1,5-3-2,,Match Report,
22,2024-08-10,15:00,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Sport Boys,,,Carlos López,3-4-3,4-3-1-2,,Match Report,
23,2024-08-18,15:00,Liga 1,Torneo Clausura,Sun,Home,D,1,1,Mannucci,,,Carlos López,4-3-3,3-4-3,,Match Report,
24,2024-08-21,13:00,Liga 1,Torneo Clausura,Wed,Away,D,1,1,Atlético Grau,,,Carlos López,4-3-3,4-4-2,,Match Report,
25,2024-08-24,15:20,Liga 1,Torneo Clausura,Sat,Home,L,0,1,Alianza Lima,,,Carlos López,4-3-3,4-3-3,,Match Report,
26,2024-09-15,15:15,Liga 1,Torneo Clausura,Sun,Away,L,0,2,Melgar,,,Carlos López,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
27,2024-09-19,15:15,Liga 1,Torneo Clausura,Thu,Home,D,1,1,UTC,,,Carlos López,5-3-2,4-2-3-1,Micke Palomino,Match Report,
28,2024-09-23,17:30,Liga 1,Torneo Clausura,Mon,Away,L,1,3,Sport Huancayo,,,Carlos López,5-3-2,4-1-4-1,Edwin Ordóñez,Match Report,
29,2024-09-29,13:15,Liga 1,Torneo Clausura,Sun,Home,W,1,0,Deportivo Garcilaso,,,Michael Sotillo,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
30,2024-10-17,15:15,Liga 1,Torneo Clausura,Thu,Away,L,1,2,Cusco,,,Michael Sotillo,5-3-2,4-2-3-1,Roberto Pérez,Match Report,
31,2024-10-22,15:15,Liga 1,Torneo Clausura,Tue,Home,W,2,1,U César Vallejo,,,Michael Sotillo,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
32,2024-10-28,13:00,Liga 1,Torneo Clausura,Mon,Away,L,0,1,Alianza Atlético,,,Michael Sotillo,3-5-2,4-1-3-2,Daniel Ureta,Match Report,
33,2024-11-03,15:00,Liga 1,Torneo Clausura,Sun,Home,D,0,0,Universitario,,,Michael Sotillo,3-4-3,3-5-2,Micke Palomino,Match Report,
