,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-02,13:00,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Cantolao,,,,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
1,2020-02-09,15:00,Liga 1,Torneo Apertura,Sun,Home,W,4,0,USMP,,,,4-2-3-1,4-3-3,Fernando Legario,Match Report,
2,2020-02-14,15:00,Liga 1,Torneo Apertura,Fri,Home,W,5,2,Llacuabamba,,,,4-4-2,4-4-2,Augusto Menéndez,Match Report,
3,2020-02-24,20:00,Liga 1,Torneo Apertura,Mon,Away,L,0,1,Alianza Univ,,,,4-4-2,4-3-3,Michael Espinoza,Match Report,
4,2020-02-29,15:30,Liga 1,Torneo Apertura,Sat,Home,L,1,4,Ayacucho,,,Javier Salazar,4-2-3-1,4-2-3-1,Ramón Blanco,Match Report,
5,2020-03-06,21:00,Liga 1,Torneo Apertura,Fri,Away,W,2,0,Mannucci,,,Jorge Molina,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
6,2020-08-18,11:00,Liga 1,Torneo Apertura,Tue,Home,W,3,0,Atlético Grau,,,Jorge Molina,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,Match awarded to Cienciano
7,2020-08-25,18:00,Liga 1,Torneo Apertura,Tue,Away,W,1,0,Dep Municipal,,,Jorge Molina,4-2-3-1,4-2-3-1,Augusto Menéndez,Match Report,
8,2020-08-31,11:00,Liga 1,Torneo Apertura,Mon,Home,L,1,3,Universitario,,,Jorge Molina,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
9,2020-09-07,18:00,Liga 1,Torneo Apertura,Mon,Away,D,0,0,Binacional,,,Luis García Uribe,4-2-3-1,4-2-3-1,Ramón Blanco,Match Report,
10,2020-09-14,18:00,Liga 1,Torneo Apertura,Mon,Home,D,0,0,Sporting Cristal,,,Jorge Molina,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
11,2020-09-19,15:30,Liga 1,Torneo Apertura,Sat,Away,W,3,2,Cusco,,,Jorge Molina,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
12,2020-09-23,15:00,Liga 1,Torneo Apertura,Wed,Home,W,3,1,Melgar,,,Jorge Molina,4-2-3-1,4-3-3,Renzo Castañeda,Match Report,
13,2020-09-26,13:00,Liga 1,Torneo Apertura,Sat,Away,L,0,3,UTC,,,Jorge Molina,4-2-3-1,4-2-3-1,Hibert Villegas,Match Report,
14,2020-09-29,13:15,Liga 1,Torneo Apertura,Tue,Home,D,0,0,Sport Huancayo,,,Jorge Molina,4-2-3-1,4-2-3-1,José Mendoza,Match Report,
15,2020-10-02,15:30,Liga 1,Torneo Apertura,Fri,Away,L,0,1,U César Vallejo,,,Jorge Molina,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
16,2020-10-08,10:30,Liga 1,Torneo Apertura,Thu,Home,L,0,1,Carlos Stein,,,Luis García Uribe,4-2-3-1,4-2-3-1,Gean Pierre Barbagelatta,Match Report,
17,2020-10-14,13:15,Liga 1,Torneo Apertura,Wed,Away,L,1,2,Sport Boys,,,Jorge Molina,4-2-3-1,4-4-2,Augusto Menéndez,Match Report,
18,2020-10-17,15:30,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Alianza Lima,,,Jorge Molina,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
19,2020-10-24,18:30,Liga 1,Group Stage,Sat,Home,L,2,3,Sporting Cristal,,,Jorge Molina,3-5-1-1,4-3-3,Roberto Pérez,Match Report,
20,2020-10-31,11:00,Liga 1,Group Stage,Sat,Home,D,1,1,UTC,,,Jorge Molina,3-5-2,4-2-3-1,Micke Palomino,Match Report,
21,2020-11-03,15:30,Liga 1,Group Stage,Tue,Away,W,1,0,Universitario,,,Jorge Molina,5-3-2,4-2-3-1,Joel Alarcón,Match Report,
22,2020-11-07,13:15,Liga 1,Group Stage,Sat,Home,D,1,1,Binacional,,,Juan Lojas,3-5-2,4-3-3,Kevin Ortega,Match Report,
23,2020-11-11,15:30,Liga 1,Group Stage,Wed,Away,L,2,3,Carlos Stein,,,Jorge Molina,3-4-3,4-2-3-1,Michael Espinoza,Match Report,
24,2020-11-14,11:00,Liga 1,Group Stage,Sat,Away,L,0,2,Cantolao,,,Jorge Molina,4-2-3-1,4-1-4-1,Kevin Ortega,Match Report,
25,2020-11-20,13:15,Liga 1,Group Stage,Fri,Home,W,1,0,Atlético Grau,,,Jorge Molina,3-5-2,4-2-3-1,Michael Espinoza,Match Report,
26,2020-11-23,13:15,Liga 1,Group Stage,Mon,Home,W,2,0,Alianza Univ,,,Jorge Molina,3-5-2,4-2-3-1,Jonathan Zamora,Match Report,
27,2020-11-30,11:00,Liga 1,Group Stage,Mon,Away,W,2,1,USMP,,,Jorge Molina,5-3-2,4-3-3,Augusto Menéndez,Match Report,
28,2021-03-12,15:30,Liga 1,Group Stage,Fri,Home,W,1,0,UTC,,,Juan Lojas,4-4-2,4-4-2,Michael Espinoza,Match Report,
29,2021-03-20,15:30,Liga 1,Group Stage,Sat,Away,D,2,2,Cusco,,,,4-2-2-2,4-2-3-1,Luis Garay Evia,Match Report,
30,2021-03-27,11:00,Liga 1,Group Stage,Sat,Home,W,1,0,Alianza Atlético,,,Juan Lojas,4-4-2,4-4-2,Diego Haro,Match Report,
31,2021-04-14,13:15,Liga 1,Group Stage,Wed,Away,W,2,0,Cantolao,,,Luis Enrique Álvarez,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
32,2021-04-23,18:00,Liga 1,Group Stage,Fri,Away,D,1,1,Ayacucho,,,Juan Lojas,3-4-3,4-2-3-1,Jonathan Zamora,Match Report,
33,2021-05-03,18:00,Liga 1,Group Stage,Mon,Home,W,5,2,Mannucci,,,Jorge Molina,3-4-3,4-2-3-1,Diego Haro,Match Report,
34,2021-05-08,13:15,Liga 1,Group Stage,Sat,Away,L,2,3,Universitario,,,Massimo Sandi,3-4-3,3-5-2,Kevin Ortega,Match Report,
35,2021-05-15,18:00,Liga 1,Group Stage,Sat,Home,L,0,1,USMP,,,Juan Lojas,3-4-3,4-2-3-1,Joel Alarcón,Match Report,
36,2021-05-23,15:30,Liga 1,Group Stage,Sun,Away,L,0,3,Melgar,,,Jorge Molina,4-3-3,4-4-2,Diego Haro,Match Report,
37,2021-07-18,13:15,Liga 1,Torneo Clausura,Sun,Away,W,4,1,Sport Boys,,,Jorge Molina,4-2-3-1,3-4-3,Michael Espinoza,Match Report,
38,2021-07-23,13:15,Liga 1,Torneo Clausura,Fri,Home,D,0,0,Cantolao,,,Jorge Molina,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
39,2021-07-30,13:15,Liga 1,Torneo Clausura,Fri,Away,D,1,1,USMP,,,Jorge Molina,4-2-3-1,4-3-3,Luis Garay Evia,Match Report,
