,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2024-01-27,20:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Cienciano,,,,4-2-3-1,4-2-3-1,,Match Report,
1,2024-02-05,15:00,Liga 1,Torneo Apertura,Mon,Home,W,3,2,CDC Santa Rosa,,,Matías Sen,4-2-3-1,4-2-3-1,,Match Report,
2,2024-02-10,15:30,Liga 1,Torneo Apertura,Sat,Away,W,3,1,Mannucci,,,Matías Sen,4-2-3-1,4-2-3-1,,Match Report,
3,2024-02-19,15:00,Liga 1,Torneo Apertura,Mon,Home,D,2,2,Atlético Grau,,,Matías Sen,4-2-3-1,4-2-3-1,,Match Report,
4,2024-02-25,16:00,Liga 1,Torneo Apertura,Sun,Away,L,1,5,Alianza Lima,,,Matías Sen,4-2-3-1,4-3-3,,Match Report,
5,2024-03-02,15:45,Liga 1,Torneo Apertura,Sat,Home,D,0,0,Melgar,,"2,086",Matías Sen,4-2-3-1,3-4-3,,Match Report,
6,2024-03-08,15:00,Liga 1,Torneo Apertura,Fri,Away,W,3,2,UTC,,,Diego Campos,4-2-3-1,4-2-3-1,,Match Report,
7,2024-03-14,15:45,Liga 1,Torneo Apertura,Thu,Home,W,3,2,Sport Huancayo,,,Diego Campos,4-2-3-1,4-1-4-1,,Match Report,
8,2024-03-28,15:00,Liga 1,Torneo Apertura,Thu,Away,W,2,1,Deportivo Garcilaso,,,Cristian González,4-1-4-1,4-2-3-1,,Match Report,
9,2024-04-08,15:00,Liga 1,Torneo Apertura,Mon,Home,L,0,1,Cusco,,,Diego Campos,4-2-3-1,4-2-3-1,,Match Report,
10,2024-04-14,13:00,Liga 1,Torneo Apertura,Sun,Away,L,1,3,U César Vallejo,,,Kevin Santamaría,4-2-3-1,4-2-3-1,,Match Report,
11,2024-04-23,15:00,Liga 1,Torneo Apertura,Tue,Home,D,0,0,Alianza Atlético,,,Kevin Santamaría,4-2-3-1,4-2-3-1,,Match Report,
12,2024-04-28,20:00,Liga 1,Torneo Apertura,Sun,Away,L,0,6,Universitario,,,Matías Sen,4-2-3-1,3-1-4-2,,Match Report,
13,2024-05-04,15:30,Liga 1,Torneo Apertura,Sat,Home,W,3,1,Unión Comercio,,,Matías Sen,4-2-3-1,4-1-4-1,,Match Report,
14,2024-05-11,15:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Sport Boys,,,Matías Sen,4-2-3-1,4-3-3,,Match Report,
15,2024-05-19,13:00,Liga 1,Torneo Apertura,Sun,Away,L,0,2,ADT Tarma,,,Jorge Bosmediano,4-2-3-1,3-4-3,,Match Report,
