,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-03,15:00,Liga 1,Torneo Apertura,Mon,Home,L,0,2,Binacional,,,Alfredo Ramúa,4-4-2,4-2-3-1,Michael Espinoza,Match Report,
1,2020-02-09,11:00,Liga 1,Torneo Apertura,Sun,Away,L,2,3,Sporting Cristal,,,Alfredo Ramúa,4-4-2,4-1-4-1,José Mendoza,Match Report,
2,2020-02-13,19:30,Sudamericana,First stage,Thu,Home,W,2,0,cl Audax Italiano,39,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Luis Quiroz,Match Report,Leg 1 of 2
3,2020-02-17,15:00,Liga 1,Torneo Apertura,Mon,Away,L,1,2,UTC,,,Danilo Carando,4-4-2,4-2-3-1,Hibert Villegas,Match Report,
4,2020-02-22,15:30,Liga 1,Torneo Apertura,Sat,Home,W,3,1,Melgar,,,Alfredo Ramúa,4-2-3-1,4-1-4-1,Luis Garay Evia,Match Report,
5,2020-02-27,21:30,Sudamericana,First stage,Thu,Away,L,0,3,cl Audax Italiano,40,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Augusto Aragón,Match Report,Leg 2 of 2; Audax Italiano won
6,2020-03-02,20:00,Liga 1,Torneo Apertura,Mon,Away,L,2,3,Sport Huancayo,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
7,2020-03-07,15:00,Liga 1,Torneo Apertura,Sat,Home,W,2,1,U César Vallejo,,,Alfredo Ramúa,4-2-3-1,5-3-2,Eduardo Chirinos,Match Report,
8,2020-08-19,11:00,Liga 1,Torneo Apertura,Wed,Away,W,2,1,Carlos Stein,,,Alfredo Ramúa,4-2-3-1,4-4-1-1,Roberto Pérez,Match Report,
9,2020-08-26,18:00,Liga 1,Torneo Apertura,Wed,Home,W,2,0,Sport Boys,,,Danilo Carando,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
10,2020-08-29,13:15,Liga 1,Torneo Apertura,Sat,Away,D,0,0,Alianza Lima,,,Danilo Carando,4-2-3-1,4-2-3-1,Víctor Carrillo,Match Report,
11,2020-09-08,13:15,Liga 1,Torneo Apertura,Tue,Home,D,1,1,Cantolao,,,Juan Pretel,4-3-2-1,4-4-2,Micke Palomino,Match Report,
12,2020-09-14,11:00,Liga 1,Torneo Apertura,Mon,Away,W,2,1,USMP,,,Alfredo Ramúa,4-3-2-1,4-3-3,Jonathan Zamora,Match Report,
13,2020-09-19,15:30,Liga 1,Torneo Apertura,Sat,Home,L,2,3,Cienciano,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
14,2020-09-23,11:00,Liga 1,Torneo Apertura,Wed,Away,L,0,1,Alianza Univ,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,José Mendoza,Match Report,
15,2020-09-28,12:00,Liga 1,Torneo Apertura,Mon,Home,D,2,2,Llacuabamba,,,Alfredo Ramúa,4-2-3-1,4-2-2-2,Gean Pierre Barbagelatta,Match Report,
16,2020-10-01,15:00,Liga 1,Torneo Apertura,Thu,Away,D,1,1,Ayacucho,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
17,2020-10-05,10:30,Liga 1,Torneo Apertura,Mon,Home,L,0,4,Mannucci,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
18,2020-10-10,15:00,Liga 1,Torneo Apertura,Sat,Away,D,1,1,Atlético Grau,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
19,2020-10-13,10:30,Liga 1,Torneo Apertura,Tue,Home,D,1,1,Dep Municipal,,,Jair Céspedes,4-2-3-1,4-2-3-1,Luis Seminario,Match Report,
20,2020-10-19,14:00,Liga 1,Torneo Apertura,Mon,Away,L,2,3,Universitario,,,Alfredo Ramúa,4-2-3-1,4-1-4-1,Michael Espinoza,Match Report,
21,2020-10-23,11:00,Liga 1,Group Stage,Fri,Home,W,3,1,Melgar,,,Alfredo Ramúa,4-3-3,4-2-3-1,Víctor Carrillo,Match Report,
22,2020-10-29,15:30,Liga 1,Group Stage,Thu,Away,W,2,0,Mannucci,,,Alfredo Ramúa,4-3-3,4-2-3-1,Ramón Blanco,Match Report,
23,2020-11-02,11:00,Liga 1,Group Stage,Mon,Home,L,1,2,Sport Boys,,,Alfredo Ramúa,4-3-3,4-4-2,Edwin Ordóñez,Match Report,
24,2020-11-06,11:00,Liga 1,Group Stage,Fri,Home,D,0,0,Sport Huancayo,,,Alfredo Ramúa,4-3-3,4-4-1-1,Hibert Villegas,Match Report,
25,2020-11-10,15:30,Liga 1,Group Stage,Tue,Away,D,1,1,Dep Municipal,,,Alfredo Ramúa,4-2-3-1,5-4-1,Augusto Menéndez,Match Report,
26,2020-11-16,15:30,Liga 1,Group Stage,Mon,Home,W,1,0,Alianza Lima,,,Alfredo Ramúa,4-2-3-1,4-4-2,Roberto Pérez,Match Report,
27,2020-11-20,11:00,Liga 1,Group Stage,Fri,Away,L,1,3,Ayacucho,,,Alfredo Ramúa,4-2-3-1,3-4-3,Diego Haro,Match Report,
28,2020-11-24,15:30,Liga 1,Group Stage,Tue,Home,D,1,1,U César Vallejo,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
29,2020-11-28,11:00,Liga 1,Group Stage,Sat,Away,W,3,2,Llacuabamba,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Luis Ciriaco Liñan,Match Report,
30,2021-03-15,15:30,Liga 1,Group Stage,Mon,Away,L,0,1,Alianza Univ,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
31,2021-03-20,15:30,Liga 1,Group Stage,Sat,Home,D,2,2,Cienciano,,,,4-2-3-1,4-2-2-2,Luis Garay Evia,Match Report,
32,2021-03-30,15:30,Liga 1,Group Stage,Tue,Away,D,2,2,Alianza Lima,,,Jair Céspedes,4-4-2,4-3-3,Renzo Castañeda,Match Report,
33,2021-04-13,13:15,Liga 1,Group Stage,Tue,Home,D,2,2,Sport Boys,,,Jair Céspedes,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
34,2021-04-26,15:30,Liga 1,Group Stage,Mon,Home,L,0,1,Sport Huancayo,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Pablo López,Match Report,
35,2021-05-03,15:30,Liga 1,Group Stage,Mon,Away,D,1,1,U César Vallejo,,,Jair Céspedes,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
36,2021-05-08,15:30,Liga 1,Group Stage,Sat,Home,L,1,2,Sporting Cristal,,,Alfredo Ramúa,4-4-2,4-2-3-1,Jesús Cartagena,Match Report,
37,2021-05-15,13:15,Liga 1,Group Stage,Sat,Away,D,1,1,Dep Municipal,,,Alfredo Ramúa,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
38,2021-05-21,13:15,Liga 1,Group Stage,Fri,Home,W,3,1,Binacional,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
39,2021-07-19,13:15,Liga 1,Torneo Clausura,Mon,Away,L,0,1,U César Vallejo,,,Alfredo Ramúa,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
40,2021-07-25,11:00,Liga 1,Torneo Clausura,Sun,Home,D,2,2,Binacional,,,Jair Céspedes,4-3-3,3-4-3,José Mendoza,Match Report,
41,2021-08-01,11:00,Liga 1,Torneo Clausura,Sun,Home,L,2,3,Alianza Univ,,,Gonzalo Rizzo,4-3-3,4-2-3-1,Hibert Villegas,Match Report,
42,2021-08-04,14:30,Liga 1,Torneo Clausura,Wed,Away,D,2,2,Melgar,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
43,2021-08-08,11:00,Liga 1,Torneo Clausura,Sun,Home,W,3,0,Alianza Atlético,,,Alfredo Ramúa,4-1-4-1,4-3-3,Augusto Menéndez,Match Report,
44,2021-08-13,11:00,Liga 1,Torneo Clausura,Fri,Away,L,1,2,UTC,,,Alfredo Ramúa,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
45,2021-08-17,11:00,Liga 1,Torneo Clausura,Tue,Home,L,2,3,Mannucci,,,Gonzalo Rizzo,4-2-3-1,4-4-2,Joel Alarcón,Match Report,
46,2021-08-22,18:00,Liga 1,Torneo Clausura,Sun,Away,L,1,4,Sporting Cristal,,,Alfredo Ramúa,4-2-3-1,4-3-3,Fernando Legario,Match Report,
47,2021-08-27,15:30,Liga 1,Torneo Clausura,Fri,Home,D,2,2,Cienciano,,,Alfredo Ramúa,4-2-3-1,4-3-3,Michael Espinoza,Match Report,
48,2021-09-11,13:15,Liga 1,Torneo Clausura,Sat,Away,W,3,1,Ayacucho,,,Mauricio Montes,4-4-2,4-2-3-1,Micke Palomino,Match Report,
49,2021-09-17,15:30,Liga 1,Torneo Clausura,Fri,Home,L,0,2,Alianza Lima,,,Mauricio Montes,4-3-3,3-4-3,Roberto Pérez,Match Report,
50,2021-09-22,11:00,Liga 1,Torneo Clausura,Wed,Away,L,2,3,Sport Boys,,,Mauricio Montes,4-3-3,5-3-2,Hibert Villegas,Match Report,
51,2021-09-27,11:00,Liga 1,Torneo Clausura,Mon,Home,W,3,2,Cantolao,,,Mauricio Montes,4-2-3-1,4-2-3-1,Pablo López,Match Report,
52,2021-10-03,10:30,Liga 1,Torneo Clausura,Sun,Away,D,1,1,USMP,,,Mauricio Montes,4-3-3,4-3-3,David Huaman,Match Report,
53,2021-10-18,11:00,Liga 1,Torneo Clausura,Mon,Home,L,3,5,Dep Municipal,,,Mauricio Montes,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
54,2021-10-23,15:30,Liga 1,Torneo Clausura,Sat,Away,L,1,2,Universitario,,,Alfredo Ramúa,3-4-3,4-3-3,Diego Haro,Match Report,
55,2021-10-30,15:00,Liga 1,Torneo Clausura,Sat,Home,W,2,1,Sport Huancayo,,,Alfredo Ramúa,4-3-3,4-2-3-1,Roberto Pérez,Match Report,
56,2023-02-03,15:30,Liga 1,Torneo Apertura,Fri,Home,L,0,3,Sport Huancayo,,,,,,Jesús Cartagena,Match Report,Match awarded to Sport Huancayo
57,2023-02-10,19:00,Liga 1,Torneo Apertura,Fri,Away,L,0,2,Cienciano,,,Daniel Ferreyra,4-5-1,4-4-2,Diego Haro,Match Report,
58,2023-02-19,18:00,Liga 1,Torneo Apertura,Sun,Home,W,2,1,Alianza Atlético,,,Felipe Rodríguez,4-1-3-2,3-4-3,Jonathan Zamora,Match Report,
59,2023-02-27,15:30,Liga 1,Torneo Apertura,Mon,Away,W,3,2,Cantolao,,,Daniel Ferreyra,4-1-3-2,4-3-3,Jesús Cartagena,Match Report,
60,2023-03-06,15:30,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Unión Comercio,,,Daniel Ferreyra,4-1-3-2,4-2-3-1,Edwin Ordóñez,Match Report,
