,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2023-02-04,19:30,Liga 1,Torneo Apertura,Sat,Home,W,3,0,Binacional,,,,,,,Match Report,Match awarded to Deportivo Garcilaso
1,2023-02-11,15:30,Liga 1,Torneo Apertura,Sat,Away,W,2,1,ADT Tarma,,,Diego Penny,4-2-3-1,4-3-3,Alejandro Villanueva,Match Report,
2,2023-02-25,15:30,Liga 1,Torneo Apertura,Sat,Home,W,2,0,Atlético Grau,,,Diego Penny,4-2-3-1,4-2-3-1,Jordy Espinoza,Match Report,
3,2023-03-06,15:00,Liga 1,Torneo Apertura,Mon,Away,W,3,0,Dep Municipal,,,Diego Penny,4-2-3-1,4-1-4-1,Fernando Legario,Match Report,
4,2023-03-12,18:00,Liga 1,Torneo Apertura,Sun,Home,D,4,4,Sporting Cristal,,,Diego Penny,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
5,2023-03-17,15:30,Liga 1,Torneo Apertura,Fri,Away,L,1,2,Sport Boys,,,Diego Penny,4-2-3-1,4-4-2,Italo Gonzáles,Match Report,
6,2023-03-26,18:00,Liga 1,Torneo Apertura,Sun,Home,L,1,2,Mannucci,,,Diego Penny,4-3-3,4-3-3,Micke Palomino,Match Report,
7,2023-03-31,19:30,Liga 1,Torneo Apertura,Fri,Home,D,0,0,Universitario,,,Diego Penny,4-2-3-1,3-4-1-2,Diego Haro,Match Report,
8,2023-04-10,18:00,Liga 1,Torneo Apertura,Mon,Away,L,0,3,U César Vallejo,,,Diego Penny,4-2-3-1,4-2-3-1,Wilfredo Blas,Match Report,
9,2023-04-16,13:00,Liga 1,Torneo Apertura,Sun,Home,D,2,2,UTC,,,Diego Penny,4-2-3-1,3-4-1-2,David Huaman,Match Report,
10,2023-04-23,15:30,Liga 1,Torneo Apertura,Sun,Away,L,1,2,Cusco,,,Diego Penny,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
11,2023-04-29,15:30,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Sport Huancayo,,,Diego Penny,4-3-3,4-2-3-1,Micke Palomino,Match Report,
12,2023-05-06,19:00,Liga 1,Torneo Apertura,Sat,Away,D,0,0,Cienciano,,,Juan Lojas,4-3-3,4-1-4-1,Joel Alarcón,Match Report,
13,2023-05-15,15:30,Liga 1,Torneo Apertura,Mon,Away,W,4,2,Melgar,,,Juan Lojas,4-3-3,4-3-3,David Huaman,Match Report,
14,2023-05-20,18:00,Liga 1,Torneo Apertura,Sat,Home,W,3,2,Alianza Atlético,,,Juan Lojas,4-1-4-1,4-2-3-1,Daniel Ureta,Match Report,
15,2023-05-26,15:00,Liga 1,Torneo Apertura,Fri,Away,D,1,1,Cantolao,,,Juan Lojas,4-2-3-1,4-2-3-1,Luis Seminario,Match Report,
16,2023-06-03,20:30,Liga 1,Torneo Apertura,Sat,Home,D,2,2,Unión Comercio,,,Juan Lojas,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
17,2023-06-10,20:30,Liga 1,Torneo Apertura,Sat,Away,L,2,3,Alianza Lima,,,Diego Penny,4-3-3,4-2-3-1,Fernando Legario,Match Report,
18,2023-06-24,20:00,Liga 1,Torneo Clausura,Sat,Away,W,1,0,Mannucci,,,Diego Penny,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
19,2023-07-01,18:00,Liga 1,Torneo Clausura,Sat,Home,D,2,2,Melgar,,,Diego Penny,3-4-3,5-3-2,Jordy Espinoza,Match Report,
20,2023-07-09,19:30,Liga 1,Torneo Clausura,Sun,Away,W,5,1,Binacional,,,Diego Penny,3-4-3,4-2-3-1,Roberto Pérez,Match Report,
21,2023-07-15,13:00,Liga 1,Torneo Clausura,Sat,Home,L,1,2,ADT Tarma,,,Diego Penny,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
