,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-01-31,18:00,Liga 1,Torneo Apertura,Fri,Home,L,1,2,Universitario,,,Alexis Arias,4-3-3,4-2-3-1,Joel Alarcón,Match Report,
1,2020-02-04,18:15,Sudamericana,First stage,Tue,Away,W,2,0,bo Nacional Potosí,48,,Alexis Arias,4-1-4-1,4-4-2,Gustavo Tejera,Match Report,Leg 1 of 2
2,2020-02-08,15:00,Liga 1,Torneo Apertura,Sat,Away,W,4,2,Binacional,,,Alexis Arias,4-1-4-1,4-2-3-1,Roberto Pérez,Match Report,
3,2020-02-16,15:30,Liga 1,Torneo Apertura,Sun,Home,W,1,0,Sporting Cristal,,,Alexis Arias,4-1-4-1,4-1-4-1,Micke Palomino,Match Report,
4,2020-02-18,19:30,Sudamericana,First stage,Tue,Home,L,0 (4),2 (3),bo Nacional Potosí,65,,Alexis Arias,4-1-4-1,3-4-3,Luis Quiroz,Match Report,Leg 2 of 2; Melgar won; Melgar won on penalty kicks following extra time
5,2020-02-22,15:30,Liga 1,Torneo Apertura,Sat,Away,L,1,3,Cusco,,,Joel Sánchez,4-1-4-1,4-2-3-1,Luis Garay Evia,Match Report,
6,2020-02-28,15:00,Liga 1,Torneo Apertura,Fri,Away,D,1,1,UTC,,,Alexis Arias,4-4-2,4-2-3-1,Edwin Ordóñez,Match Report,
7,2020-03-07,20:00,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Sport Huancayo,,,Alexis Arias,4-3-3,4-2-3-1,Diego Haro,Match Report,
8,2020-08-19,18:00,Liga 1,Torneo Apertura,Wed,Away,D,0,0,U César Vallejo,,,Alexis Arias,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
9,2020-08-27,15:30,Liga 1,Torneo Apertura,Thu,Home,L,0,2,Carlos Stein,,,Alexis Arias,4-2-3-1,4-1-4-1,Luis Garay Evia,Match Report,
