,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-02,15:30,Liga 1,Torneo Apertura,Sun,Home,W,3,2,Llacuabamba,,,Paolo de la Haza,4-3-3,4-2-3-1,Fernando Legario,Match Report,
1,2020-02-07,15:00,Liga 1,Torneo Apertura,Fri,Away,L,1,2,Ayacucho,,,Jesús Chávez,4-2-3-1,4-4-2,Jorge Panta,Match Report,
2,2020-02-15,16:00,Liga 1,Torneo Apertura,Sat,Home,D,3,3,Mannucci,,,Paolo de la Haza,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
3,2020-02-22,13:15,Liga 1,Torneo Apertura,Sat,Away,W,3,2,Atlético Grau,,,,,,Renzo Castañeda,Match Report,
4,2020-03-01,15:00,Liga 1,Torneo Apertura,Sun,Home,D,3,3,Universitario,,,Jesús Chávez,4-3-3,4-4-2,Joel Alarcón,Match Report,
5,2020-03-08,19:30,Liga 1,Torneo Apertura,Sun,Away,L,1,3,Binacional,,,Jesús Chávez,4-3-3,4-2-3-1,Michael Espinoza,Match Report,
6,2020-08-18,13:15,Liga 1,Torneo Apertura,Tue,Home,L,1,4,Sporting Cristal,,,Paolo de la Haza,4-2-3-1,4-2-3-1,Miguel Santiváñez,Match Report,
7,2020-08-26,18:00,Liga 1,Torneo Apertura,Wed,Away,L,0,2,Cusco,,,Adán Balbín,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
8,2020-08-31,18:00,Liga 1,Torneo Apertura,Mon,Home,W,1,0,Melgar,,,Adán Balbín,4-2-3-1,4-2-3-1,José Mendoza,Match Report,
9,2020-09-07,15:30,Liga 1,Torneo Apertura,Mon,Away,L,1,2,UTC,,,Adán Balbín,4-2-3-1,4-3-3,Augusto Menéndez,Match Report,
10,2020-09-12,11:30,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Sport Huancayo,,,Adán Balbín,4-3-3,4-2-3-1,Eduardo Chirinos,Match Report,
11,2020-09-17,15:30,Liga 1,Torneo Apertura,Thu,Away,L,0,2,U César Vallejo,,,Paolo de la Haza,4-3-3,4-2-3-1,Ramón Blanco,Match Report,
