,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-01,17:30,Liga 1,Torneo Apertura,Sat,Home,W,1,0,Atlético Grau,,,Joel Pinto,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
1,2020-02-08,20:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,Universitario,,,Joel Pinto,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
2,2020-02-11,19:15,Sudamericana,First stage,Tue,Away,D,1,1,ar Arg Juniors,34,,Joel Pinto,4-2-3-1,4-3-3,Ángel Arteaga,Match Report,Leg 1 of 2
3,2020-02-16,17:45,Liga 1,Torneo Apertura,Sun,Home,D,1,1,Dep Municipal,,,Joel Pinto,4-2-3-1,4-2-3-1,Eduardo Chirinos,Match Report,
4,2020-02-22,11:00,Liga 1,Torneo Apertura,Sat,Away,D,0,0,Sporting Cristal,,,Víctor Peña,4-2-3-1,4-3-3,Kevin Ortega,Match Report,
5,2020-02-25,19:30,Sudamericana,First stage,Tue,Home,D,0,0,ar Arg Juniors,51,,Joel Pinto,4-2-3-1,4-3-3,Daniel Fedorczuk,Match Report,Leg 2 of 2; Sport Huancayo won
6,2020-03-02,20:00,Liga 1,Torneo Apertura,Mon,Home,W,3,2,Cusco,,,Joel Pinto,4-2-3-1,4-2-3-1,Diego Haro,Match Report,
7,2020-03-07,20:00,Liga 1,Torneo Apertura,Sat,Away,L,0,1,Melgar,,,Joel Pinto,4-2-3-1,4-3-3,Diego Haro,Match Report,
8,2020-08-18,15:30,Liga 1,Torneo Apertura,Tue,Home,W,2,0,UTC,,,Joel Pinto,4-2-3-1,4-4-2,Luis Seminario,Match Report,
9,2020-08-26,15:30,Liga 1,Torneo Apertura,Wed,Away,D,1,1,Ayacucho,,,Joel Pinto,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
10,2020-08-31,15:30,Liga 1,Torneo Apertura,Mon,Away,L,0,2,U César Vallejo,,,Joel Pinto,4-2-3-1,4-2-3-1,Miguel Santiváñez,Match Report,
11,2020-09-08,11:00,Liga 1,Torneo Apertura,Tue,Home,W,1,0,Carlos Stein,,,Joel Pinto,4-2-3-1,4-2-3-1,Edwin Ordóñez,Match Report,
