,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-01,15:00,Liga 1,Torneo Apertura,Sat,Away,L,1,2,UTC,,,Renzo Revoredo,4-3-3,4-2-3-1,Diego Haro,Match Report,
1,2020-02-06,19:30,Libertadores,Second qualifying stage,Thu,Away,L,0,4,ec Barcelona,58,,Jorge Cazulo,5-3-2,4-2-3-1,Cristián Garay,Match Report,Leg 1 of 2
2,2020-02-09,11:00,Liga 1,Torneo Apertura,Sun,Home,W,3,2,Cusco,,,Jorge Cazulo,4-1-4-1,4-4-2,José Mendoza,Match Report,
3,2020-02-13,19:30,Libertadores,Second qualifying stage,Thu,Home,W,2,1,ec Barcelona,53,,Jorge Cazulo,4-3-3,4-2-3-1,Wilton Sampaio,Match Report,Leg 2 of 2; Barcelona won
4,2020-02-16,15:30,Liga 1,Torneo Apertura,Sun,Away,L,0,1,Melgar,,,Horacio Calcaterra,4-1-4-1,4-1-4-1,Micke Palomino,Match Report,
5,2020-02-22,11:00,Liga 1,Torneo Apertura,Sat,Home,D,0,0,Sport Huancayo,,,Jorge Cazulo,4-3-3,4-2-3-1,Kevin Ortega,Match Report,
6,2020-03-01,17:45,Liga 1,Torneo Apertura,Sun,Away,D,1,1,U César Vallejo,,,Jorge Cazulo,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
7,2020-03-07,11:00,Liga 1,Torneo Apertura,Sat,Home,L,0,1,Carlos Stein,,,Jorge Cazulo,4-1-4-1,4-1-4-1,Renzo Castañeda,Match Report,
8,2020-08-18,13:15,Liga 1,Torneo Apertura,Tue,Away,W,4,1,Sport Boys,,,Horacio Calcaterra,4-2-3-1,4-2-3-1,Miguel Santiváñez,Match Report,
9,2020-08-25,14:15,Liga 1,Torneo Apertura,Tue,Home,D,1,1,Alianza Lima,,,Horacio Calcaterra,4-2-3-1,4-2-3-1,Kevin Ortega,Match Report,
10,2020-08-31,13:15,Liga 1,Torneo Apertura,Mon,Away,W,6,2,Cantolao,,,Horacio Calcaterra,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
11,2020-09-09,13:00,Liga 1,Torneo Apertura,Wed,Home,W,2,0,USMP,,,Horacio Calcaterra,4-2-3-1,4-3-3,Diego Haro,Match Report,
12,2020-09-14,18:00,Liga 1,Torneo Apertura,Mon,Away,D,0,0,Cienciano,,,Horacio Calcaterra,4-2-3-1,4-2-3-1,Fernando Legario,Match Report,
