,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-02-01,15:00,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Sporting Cristal,,,Salomón Libman,4-2-3-1,4-3-3,Diego Haro,Match Report,
1,2020-02-09,19:30,Liga 1,Torneo Apertura,Sun,Away,D,0,0,Dep Municipal,,,Salomón Libman,4-2-3-1,4-2-3-1,Jesús Cartagena,Match Report,
2,2020-02-17,15:00,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Cusco,,,Salomón Libman,4-2-3-1,4-4-2,Hibert Villegas,Match Report,
3,2020-02-21,18:00,Liga 1,Torneo Apertura,Fri,Away,L,0,1,Binacional,,,Salomón Libman,4-3-1-2,4-2-3-1,Ramón Blanco,Match Report,
4,2020-02-28,15:00,Liga 1,Torneo Apertura,Fri,Home,D,1,1,Melgar,,,Salomón Libman,4-2-3-1,4-4-2,Edwin Ordóñez,Match Report,
5,2020-03-06,15:00,Liga 1,Torneo Apertura,Fri,Away,D,2,2,Llacuabamba,,,Salomón Libman,4-2-3-1,4-2-3-1,Alejandro Villanueva,Match Report,
6,2020-08-18,15:30,Liga 1,Torneo Apertura,Tue,Away,L,0,2,Sport Huancayo,,,Salomón Libman,4-4-2,4-2-3-1,Luis Seminario,Match Report,
7,2020-08-26,13:15,Liga 1,Torneo Apertura,Wed,Home,L,1,3,U César Vallejo,,,Salomón Libman,4-4-2,4-2-3-1,Víctor Carrillo,Match Report,
8,2020-09-01,11:00,Liga 1,Torneo Apertura,Tue,Away,W,1,0,Carlos Stein,,,Salomón Libman,4-4-2,4-2-3-1,Hibert Villegas,Match Report,
9,2020-09-07,15:30,Liga 1,Torneo Apertura,Mon,Home,W,2,1,Sport Boys,,,Salomón Libman,4-3-3,4-2-3-1,Augusto Menéndez,Match Report,
10,2020-09-11,15:30,Liga 1,Torneo Apertura,Fri,Away,W,2,0,Alianza Lima,,,Salomón Libman,4-2-3-1,4-3-3,Kevin Ortega,Match Report,
11,2020-09-17,13:00,Liga 1,Torneo Apertura,Thu,Home,W,3,1,Cantolao,,,Salomón Libman,4-2-3-1,4-2-3-1,Luis Garay Evia,Match Report,
