,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
0,2020-01-21,18:15,Libertadores,First qualifying stage,Tue,Away,D,1,1,ve Carabobo,56,,José Carvallo,4-2-3-1,5-3-2,John J. Ospina,Match Report,Leg 1 of 2
1,2020-01-28,19:30,Libertadores,First qualifying stage,Tue,Home,W,1,0,ve Carabobo,49,,José Carvallo,4-2-3-1,5-3-2,Braulio da Silva Machado,Match Report,Leg 2 of 2; Universitario won
2,2020-01-31,18:00,Liga 1,Torneo Apertura,Fri,Away,W,2,1,Melgar,,,José Carvallo,4-2-3-1,4-3-3,Joel Alarcón,Match Report,
3,2020-02-05,17:15,Libertadores,Second qualifying stage,Wed,Home,D,1,1,py Cerro Porteño,37,,José Carvallo,4-2-2-2,4-4-1-1,Andrés Rojas,Match Report,Leg 1 of 2
4,2020-02-08,20:00,Liga 1,Torneo Apertura,Sat,Home,W,2,1,Sport Huancayo,,,José Carvallo,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
5,2020-02-12,19:15,Libertadores,Second qualifying stage,Wed,Away,L,0,1,py Cerro Porteño,47,,José Carvallo,4-2-3-1,4-1-4-1,Patricio Loustau,Match Report,Leg 2 of 2; Cerro Porteño won
6,2020-02-15,15:00,Liga 1,Torneo Apertura,Sat,Away,W,3,1,Carlos Stein,,,,4-2-3-1,4-2-3-1,Roberto Pérez,Match Report,
7,2020-02-22,20:00,Liga 1,Torneo Apertura,Sat,Home,L,0,2,U César Vallejo,,,José Carvallo,4-2-3-1,4-4-2,Víctor Carrillo,Match Report,
8,2020-03-01,15:00,Liga 1,Torneo Apertura,Sun,Away,D,3,3,Sport Boys,,,José Carvallo,4-4-2,4-3-3,Joel Alarcón,Match Report,
9,2020-03-08,15:00,Liga 1,Torneo Apertura,Sun,Home,W,2,0,Alianza Lima,,,José Carvallo,4-3-3,5-3-2,Miguel Santiváñez,Match Report,
10,2020-08-07,18:00,Liga 1,Torneo Apertura,Fri,Away,D,0,0,Cantolao,,,José Carvallo,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
11,2020-08-27,11:00,Liga 1,Torneo Apertura,Thu,Home,W,2,0,USMP,,,José Carvallo,4-2-3-1,4-4-2,Miguel Santiváñez,Match Report,
12,2020-08-31,11:00,Liga 1,Torneo Apertura,Mon,Away,W,3,1,Cienciano,,,José Carvallo,4-2-3-1,4-2-3-1,Joel Alarcón,Match Report,
13,2020-09-07,13:15,Liga 1,Torneo Apertura,Mon,Home,W,3,2,Alianza Univ,,,José Carvallo,4-2-3-1,4-4-2,Kevin Ortega,Match Report,
14,2020-09-12,11:00,Liga 1,Torneo Apertura,Sat,Away,W,1,0,Llacuabamba,,,José Carvallo,4-2-3-1,4-1-4-1,Víctor Carrillo,Match Report,
15,2020-09-18,18:00,Liga 1,Torneo Apertura,Fri,Home,W,1,0,Ayacucho,,,José Carvallo,4-2-3-1,4-2-3-1,Michael Espinoza,Match Report,
16,2020-09-22,13:15,Liga 1,Torneo Apertura,Tue,Away,D,2,2,Mannucci,,,José Carvallo,4-2-3-1,4-2-3-1,Miguel Santiváñez,Match Report,
17,2020-09-25,15:30,Liga 1,Torneo Apertura,Fri,Home,W,2,0,Atlético Grau,,,José Carvallo,4-2-3-1,5-3-2,Augusto Menéndez,Match Report,
18,2020-09-30,15:30,Liga 1,Torneo Apertura,Wed,Away,W,5,0,Dep Municipal,,,Nelinho Quina,4-1-4-1,4-3-3,Roberto Pérez,Match Report,
19,2020-10-05,18:00,Liga 1,Torneo Apertura,Mon,Away,W,3,1,UTC,,,Nelinho Quina,4-1-4-1,4-2-3-1,Diego Haro,Match Report,
20,2020-10-10,15:30,Liga 1,Torneo Apertura,Sat,Home,D,1,1,Binacional,,,Nelinho Quina,4-1-4-1,4-2-3-1,Edwin Ordóñez,Match Report,
21,2020-10-15,14:00,Liga 1,Torneo Apertura,Thu,Away,L,0,1,Sporting Cristal,,,José Carvallo,4-2-3-1,4-4-2,Kevin Ortega,Match Report,
22,2020-10-19,14:00,Liga 1,Torneo Apertura,Mon,Home,W,3,2,Cusco,,,José Carvallo,4-1-4-1,4-2-3-1,Michael Espinoza,Match Report,
23,2020-10-24,15:30,Liga 1,Group Stage,Sat,Home,W,2,1,Atlético Grau,,,José Carvallo,4-2-3-1,4-3-1-2,Edwin Ordóñez,Match Report,
