,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Captain,Formation,Opp Formation,Referee,Team,DateTime
0,2020-02-02,13:00,Liga 1,Torneo Apertura,6,Away,L,1,2,Cantolao,,4-2-3-1,4-2-3-1,Jesús Cartagena,Cienciano,2020-02-02 13:00:00
1,2020-02-09,15:00,Liga 1,Torneo Apertura,6,Home,W,4,0,USMP,,4-2-3-1,4-3-3,Fernando Legario,Cienciano,2020-02-09 15:00:00
2,2020-02-14,15:00,Liga 1,Torneo Apertura,4,Home,W,5,2,Llacuabamba,,4-4-2,4-4-2,Augusto Menéndez,Cienciano,2020-02-14 15:00:00
3,2020-02-24,20:00,Liga 1,Torneo Apertura,0,Away,L,0,1,Alianza Univ,,4-4-2,4-3-3,Michael Espinoza,Cienciano,2020-02-24 20:00:00
4,2020-02-29,15:30,Liga 1,Torneo Apertura,5,Home,L,1,4,Ayacucho,Javier Salazar,4-2-3-1,4-2-3-1,Ramón Blanco,Cienciano,2020-02-29 15:30:00
5,2020-03-06,21:00,Liga 1,Torneo Apertura,4,Away,W,2,0,Mannucci,Jorge Molina,4-2-3-1,4-2-3-1,Fernando Legario,Cienciano,2020-03-06 21:00:00
6,2020-08-18,11:00,Liga 1,Torneo Apertura,1,Home,W,3,0,Atlético Grau,Jorge Molina,4-2-3-1,4-4-2,Edwin Ordóñez,Cienciano,2020-08-18 11:00:00
7,2020-08-25,18:00,Liga 1,Torneo Apertura,1,Away,W,1,0,Dep Municipal,Jorge Molina,4-2-3-1,4-2-3-1,Augusto Menéndez,Cienciano,2020-08-25 18:00:00
8,2020-08-31,11:00,Liga 1,Torneo Apertura,0,Home,L,1,3,Universitario,Jorge Molina,4-2-3-1,4-2-3-1,Joel Alarcón,Cienciano,2020-08-31 11:00:00
9,2020-09-07,18:00,Liga 1,Torneo Apertura,0,Away,D,0,0,Binacional,Luis García Uribe,4-2-3-1,4-2-3-1,Ramón Blanco,Cienciano,2020-09-07 18:00:00
10,2020-09-14,18:00,Liga 1,Torneo Apertura,0,Home,D,0,0,Sporting Cristal,Jorge Molina,4-2-3-1,4-2-3-1,Fernando Legario,Cienciano,2020-09-14 18:00:00
11,2020-09-19,15:30,Liga 1,Torneo Apertura,5,Away,W,3,2,Cusco,Jorge Molina,4-2-3-1,4-2-3-1,Jesús Cartagena,Cienciano,2020-09-19 15:30:00
12,2020-09-23,15:00,Liga 1,Torneo Apertura,2,Home,W,3,1,Melgar,Jorge Molina,4-2-3-1,4-3-3,Renzo Castañeda,Cienciano,2020-09-23 15:00:00
13,2020-09-26,13:00,Liga 1,Torneo Apertura,5,Away,L,0,3,UTC,Jorge Molina,4-2-3-1,4-2-3-1,Hibert Villegas,Cienciano,2020-09-26 13:00:00
14,2020-09-29,13:15,Liga 1,Torneo Apertura,1,Home,D,0,0,Sport Huancayo,Jorge Molina,4-2-3-1,4-2-3-1,José Mendoza,Cienciano,2020-09-29 13:15:00
15,2020-10-02,15:30,Liga 1,Torneo Apertura,4,Away,L,0,1,U César Vallejo,Jorge Molina,4-2-3-1,4-2-3-1,Víctor Carrillo,Cienciano,2020-10-02 15:30:00
16,2020-10-08,10:30,Liga 1,Torneo Apertura,3,Home,L,0,1,Carlos Stein,Luis García Uribe,4-2-3-1,4-2-3-1,Gean Pierre Barbagelatta,Cienciano,2020-10-08 10:30:00
17,2020-10-14,13:15,Liga 1,Torneo Apertura,2,Away,L,1,2,Sport Boys,Jorge Molina,4-2-3-1,4-4-2,Augusto Menéndez,Cienciano,2020-10-14 13:15:00
18,2020-10-17,15:30,Liga 1,Torneo Apertura,5,Home,W,2,1,Alianza Lima,Jorge Molina,4-2-3-1,4-2-3-1,Kevin Ortega,Cienciano,2020-10-17 15:30:00
19,2020-10-24,18:30,Liga 1,Group Stage,5,Home,L,2,3,Sporting Cristal,Jorge Molina,3-5-1-1,4-3-3,Roberto Pérez,Cienciano,2020-10-24 18:30:00
20,2020-10-31,11:00,Liga 1,Group Stage,5,Home,D,1,1,UTC,Jorge Molina,3-5-2,4-2-3-1,Micke Palomino,Cienciano,2020-10-31 11:00:00
21,2020-11-03,15:30,Liga 1,Group Stage,1,Away,W,1,0,Universitario,Jorge Molina,5-3-2,4-2-3-1,Joel Alarcón,Cienciano,2020-11-03 15:30:00
22,2020-11-07,13:15,Liga 1,Group Stage,5,Home,D,1,1,Binacional,Juan Lojas,3-5-2,4-3-3,Kevin Ortega,Cienciano,2020-11-07 13:15:00
23,2020-11-11,15:30,Liga 1,Group Stage,2,Away,L,2,3,Carlos Stein,Jorge Molina,3-4-3,4-2-3-1,Michael Espinoza,Cienciano,2020-11-11 15:30:00
24,2020-11-14,11:00,Liga 1,Group Stage,5,Away,L,0,2,Cantolao,Jorge Molina,4-2-3-1,4-1-4-1,Kevin Ortega,Cienciano,2020-11-14 11:00:00
25,2020-11-20,13:15,Liga 1,Group Stage,4,Home,W,1,0,Atlético Grau,Jorge Molina,3-5-2,4-2-3-1,Michael Espinoza,Cienciano,2020-11-20 13:15:00
26,2020-11-23,13:15,Liga 1,Group Stage,0,Home,W,2,0,Alianza Univ,Jorge Molina,3-5-2,4-2-3-1,Jonathan Zamora,Cienciano,2020-11-23 13:15:00
27,2020-11-30,11:00,Liga 1,Group Stage,0,Away,W,2,1,USMP,Jorge Molina,5-3-2,4-3-3,Augusto Menéndez,Cienciano,2020-11-30 11:00:00
28,2021-03-12,15:30,Liga 1,Group Stage,4,Home,W,1,0,UTC,Juan Lojas,4-4-2,4-4-2,Michael Espinoza,Cienciano,2021-03-12 15:30:00
29,2021-03-20,15:30,Liga 1,Group Stage,5,Away,D,2,2,Cusco,,4-2-2-2,4-2-3-1,Luis Garay Evia,Cienciano,2021-03-20 15:30:00
30,2021-03-27,11:00,Liga 1,Group Stage,5,Home,W,1,0,Alianza Atlético,Juan Lojas,4-4-2,4-4-2,Diego Haro,Cienciano,2021-03-27 11:00:00
31,2021-04-14,13:15,Liga 1,Group Stage,2,Away,W,2,0,Cantolao,Luis Enrique Álvarez,4-2-3-1,4-2-3-1,Jordy Espinoza,Cienciano,2021-04-14 13:15:00
32,2021-04-23,18:00,Liga 1,Group Stage,4,Away,D,1,1,Ayacucho,Juan Lojas,3-4-3,4-2-3-1,Jonathan Zamora,Cienciano,2021-04-23 18:00:00
33,2021-05-03,18:00,Liga 1,Group Stage,0,Home,W,5,2,Mannucci,Jorge Molina,3-4-3,4-2-3-1,Diego Haro,Cienciano,2021-05-03 18:00:00
34,2021-05-08,13:15,Liga 1,Group Stage,5,Away,L,2,3,Universitario,Massimo Sandi,3-4-3,3-5-2,Kevin Ortega,Cienciano,2021-05-08 13:15:00
35,2021-05-15,18:00,Liga 1,Group Stage,5,Home,L,0,1,USMP,Juan Lojas,3-4-3,4-2-3-1,Joel Alarcón,Cienciano,2021-05-15 18:00:00
36,2021-05-23,15:30,Liga 1,Group Stage,6,Away,L,0,3,Melgar,Jorge Molina,4-3-3,4-4-2,Diego Haro,Cienciano,2021-05-23 15:30:00
37,2021-07-18,13:15,Liga 1,Torneo Clausura,6,Away,W,4,1,Sport Boys,Jorge Molina,4-2-3-1,3-4-3,Michael Espinoza,Cienciano,2021-07-18 13:15:00
38,2021-07-23,13:15,Liga 1,Torneo Clausura,4,Home,D,0,0,Cantolao,Jorge Molina,4-2-3-1,4-2-3-1,Joel Alarcón,Cienciano,2021-07-23 13:15:00
39,2021-07-30,13:15,Liga 1,Torneo Clausura,4,Away,D,1,1,USMP,Jorge Molina,4-2-3-1,4-3-3,Luis Garay Evia,Cienciano,2021-07-30 13:15:00
40,2021-08-02,19:30,Liga 1,Torneo Clausura,0,Home,L,2,3,Dep Municipal,Daniel Ferreyra,4-2-3-1,4-2-3-1,Micke Palomino,Cienciano,2021-08-02 19:30:00
41,2021-08-09,13:15,Liga 1,Torneo Clausura,0,Away,L,1,3,Universitario,Juan Lojas,4-3-3,3-4-1-2,Joel Alarcón,Cienciano,2021-08-09 13:15:00
42,2021-08-14,18:00,Liga 1,Torneo Clausura,5,Home,D,0,0,Sport Huancayo,Jorge Molina,4-2-3-1,4-2-3-1,Edwin Ordóñez,Cienciano,2021-08-14 18:00:00
43,2021-08-17,13:15,Liga 1,Torneo Clausura,1,Away,W,1,0,U César Vallejo,Daniel Ferreyra,4-2-3-1,3-5-2,Hibert Villegas,Cienciano,2021-08-17 13:15:00
44,2021-08-22,11:00,Liga 1,Torneo Clausura,6,Home,W,2,0,Binacional,Daniel Ferreyra,4-3-3,4-4-2,Kevin Ortega,Cienciano,2021-08-22 11:00:00
45,2021-08-27,15:30,Liga 1,Torneo Clausura,4,Away,D,2,2,Cusco,Daniel Ferreyra,4-3-3,4-2-3-1,Michael Espinoza,Cienciano,2021-08-27 15:30:00
46,2021-09-12,18:00,Liga 1,Torneo Clausura,6,Home,L,0,1,Melgar,Juan Lojas,4-3-3,4-2-3-1,Edwin Ordóñez,Cienciano,2021-09-12 18:00:00
47,2021-09-17,11:00,Liga 1,Torneo Clausura,4,Away,D,2,2,Alianza Atlético,Juan Lojas,4-3-3,4-5-1,José Mendoza,Cienciano,2021-09-17 11:00:00
48,2021-09-21,11:00,Liga 1,Torneo Clausura,1,Home,D,2,2,UTC,Juan Romagnoli,4-2-3-1,4-2-3-1,Jonathan Zamora,Cienciano,2021-09-21 11:00:00
49,2021-09-25,13:15,Liga 1,Torneo Clausura,5,Away,W,3,1,Mannucci,Juan Romagnoli,4-2-3-1,4-2-3-1,Roberto Pérez,Cienciano,2021-09-25 13:15:00
50,2021-10-01,15:30,Liga 1,Torneo Clausura,4,Home,W,2,1,Sporting Cristal,Jorge Molina,4-2-3-1,4-2-3-1,Jordy Espinoza,Cienciano,2021-10-01 15:30:00
51,2021-10-17,13:15,Liga 1,Torneo Clausura,6,Away,D,1,1,Alianza Univ,Jorge Molina,4-2-3-1,4-2-3-1,Augusto Menéndez,Cienciano,2021-10-17 13:15:00
52,2021-10-22,13:15,Liga 1,Torneo Clausura,4,Away,W,3,1,Ayacucho,Jorge Molina,4-2-3-1,4-3-3,Víctor Carrillo,Cienciano,2021-10-22 13:15:00
53,2021-10-29,15:00,Liga 1,Torneo Clausura,4,Home,D,1,1,Alianza Lima,Jorge Molina,4-5-1,3-5-2,Gean Pierre Barbagelatta,Cienciano,2021-10-29 15:00:00
54,2022-02-04,13:15,Liga 1,Torneo Apertura,4,Away,D,0,0,U César Vallejo,Adrián Ugarriza,4-3-3,3-4-3,Wilfredo Blas,Cienciano,2022-02-04 13:15:00
55,2022-02-12,19:00,Liga 1,Torneo Apertura,5,Home,W,4,2,Dep Municipal,Adrián Ugarriza,4-3-3,4-4-2,Fernando Legario,Cienciano,2022-02-12 19:00:00
56,2022-02-20,19:00,Liga 1,Torneo Apertura,6,Home,D,0,0,ADT Tarma,Adrián Ugarriza,3-5-2,4-2-3-1,Jesús Cartagena,Cienciano,2022-02-20 19:00:00
57,2022-02-25,19:00,Liga 1,Torneo Apertura,4,Away,L,2,3,Binacional,Adrián Ugarriza,4-4-2,4-2-3-1,Edwin Ordóñez,Cienciano,2022-02-25 19:00:00
58,2022-03-04,19:00,Liga 1,Torneo Apertura,4,Home,W,3,1,Ayacucho,Koichi Aparicio,4-3-3,4-3-3,Micke Palomino,Cienciano,2022-03-04 19:00:00
59,2022-03-08,19:30,Sudamericana,First stage,1,Home,D,1,1,pe Melgar,Adrián Ugarriza,4-2-3-1,4-4-2,Nicolás Gamboa,Cienciano,2022-03-08 19:30:00
60,2022-03-12,19:30,Liga 1,Torneo Apertura,5,Away,D,1,1,Universitario,Koichi Aparicio,4-2-3-1,4-2-3-1,Luis Seminario,Cienciano,2022-03-12 19:30:00
61,2022-03-15,19:30,Sudamericana,First stage,1,Away,L,0,1,pe Melgar,Adrián Ugarriza,4-2-3-1,4-3-3,Andrés Rojas,Cienciano,2022-03-15 19:30:00
62,2022-03-19,15:30,Liga 1,Torneo Apertura,5,Home,W,4,1,Sport Boys,Adrián Ugarriza,4-3-3,4-3-3,Luis Garay Evia,Cienciano,2022-03-19 15:30:00
63,2022-04-03,15:00,Liga 1,Torneo Apertura,6,Away,W,2,1,Atlético Grau,Adrián Ugarriza,4-2-3-1,4-2-3-1,Jordy Espinoza,Cienciano,2022-04-03 15:00:00
64,2022-04-09,19:00,Liga 1,Torneo Apertura,5,Home,W,5,0,Alianza Atlético,Adrián Ugarriza,4-3-3,4-4-2,Jesús Cartagena,Cienciano,2022-04-09 19:00:00
65,2022-04-16,13:15,Liga 1,Torneo Apertura,5,Away,W,2,0,Mannucci,Adrián Ugarriza,4-3-3,4-2-3-1,Edwin Ordóñez,Cienciano,2022-04-16 13:15:00
66,2022-04-22,19:00,Liga 1,Torneo Apertura,4,Home,L,0,1,Sporting Cristal,Adrián Ugarriza,4-3-3,4-4-1-1,Luis Seminario,Cienciano,2022-04-22 19:00:00
67,2022-04-30,15:30,Liga 1,Torneo Apertura,5,Away,L,0,1,Melgar,Adrián Ugarriza,4-2-3-1,4-3-3,Michael Espinoza,Cienciano,2022-04-30 15:30:00
